account_id,month,plan,arpu_usd,support_tickets,churned
A000098,2025-08,Month-to-month,48.44,3,0
A000099,2025-08,Month-to-month,71.79,4,0
A000100,2025-08,Month-to-month,65.69,3,0
A000101,2025-08,Month-to-month,47.18,0,0
A000102,2025-08,Month-to-month,77.36,2,0
A000103,2025-08,Month-to-month,54.19,3,0
A000104,2025-08,Month-to-month,53.94,3,0
A000105,2025-08,Month-to-month,57.2,4,0
A000106,2025-08,Month-to-month,53.15,2,0
A000107,2025-08,Month-to-month,74.94,6,1
A000108,2025-08,Month-to-month,43.33,2,0
A000109,2025-08,Month-to-month,66.38,0,0
A000110,2025-08,Month-to-month,90.47,1,0
A000111,2025-08,Month-to-month,66.16,1,0
A000112,2025-08,Month-to-month,46.75,0,0
A000113,2025-08,Month-to-month,54.69,2,0
A000114,2025-08,Month-to-month,59.97,2,0
A000115,2025-08,Month-to-month,77.64,3,0
A000116,2025-08,Month-to-month,52.67,3,0
A000117,2025-08,Month-to-month,41.2,5,0
A000118,2025-08,Month-to-month,61.69,4,1
A000119,2025-08,Month-to-month,64.03,4,0
A000120,2025-08,Month-to-month,57.54,3,0
A000121,2025-08,Month-to-month,73.76,2,0
A000122,2025-08,Month-to-month,63.34,0,0
A000123,2025-08,Month-to-month,62.92,1,0
A000124,2025-08,Month-to-month,50.41,2,0
A000125,2025-08,Month-to-month,57.14,3,0
A000126,2025-08,Month-to-month,69.81,2,0
A000127,2025-08,Month-to-month,40.77,2,1
A000128,2025-08,Month-to-month,70.99,3,0
A000129,2025-08,Month-to-month,77.18,4,0
A000130,2025-08,Month-to-month,95.0,3,1
A000131,2025-08,Month-to-month,92.22,3,0
A000132,2025-08,Month-to-month,64.9,3,0
A000133,2025-08,Month-to-month,61.1,3,0
A000134,2025-08,Month-to-month,79.57,3,0
A000135,2025-08,Month-to-month,41.57,3,1
A000136,2025-08,Month-to-month,65.86,5,0
A000137,2025-08,Month-to-month,57.51,4,0
A000138,2025-08,Month-to-month,53.35,2,0
A000139,2025-08,Month-to-month,65.19,4,0
A000140,2025-08,Month-to-month,56.73,3,0
A000141,2025-08,Month-to-month,70.42,3,0
A000142,2025-08,Month-to-month,103.5,2,0
A000143,2025-08,Month-to-month,57.18,2,1
A000144,2025-08,Month-to-month,85.27,4,1
A000145,2025-08,Month-to-month,66.18,1,0
A000146,2025-08,Month-to-month,59.98,2,0
A000147,2025-08,Month-to-month,56.72,3,0
A000148,2025-08,Month-to-month,42.11,1,0
A000149,2025-08,Month-to-month,72.08,1,0
A000150,2025-08,Month-to-month,55.29,0,0
A000151,2025-08,Month-to-month,85.93,1,0
A000152,2025-08,Month-to-month,97.41,2,0
A000153,2025-08,Month-to-month,73.6,3,0
A000154,2025-08,Month-to-month,91.27,1,0
A000155,2025-08,Month-to-month,84.47,4,1
A000156,2025-08,Month-to-month,57.37,5,0
A000157,2025-08,Month-to-month,54.36,2,0
A000158,2025-08,Month-to-month,53.73,1,0
A000159,2025-08,Month-to-month,62.71,2,0
A000160,2025-08,Month-to-month,80.01,2,1
A000161,2025-08,Month-to-month,59.15,1,0
A000162,2025-08,Month-to-month,74.99,4,0
A000163,2025-08,Month-to-month,57.64,3,0
A000164,2025-08,Month-to-month,89.06,3,1
A000165,2025-08,Month-to-month,70.96,2,0
A000166,2025-08,Month-to-month,55.69,2,0
A000167,2025-08,Month-to-month,57.68,2,0
A000168,2025-08,Month-to-month,58.34,1,0
A000169,2025-08,Month-to-month,78.93,3,0
A000170,2025-08,Month-to-month,65.51,2,0
A000171,2025-08,Month-to-month,72.11,3,0
A000172,2025-08,Month-to-month,73.2,2,1
A000173,2025-08,Month-to-month,79.21,3,0
A000174,2025-08,Month-to-month,96.73,2,0
A000175,2025-08,Month-to-month,61.65,3,0
A000176,2025-08,Month-to-month,80.12,0,1
A000177,2025-08,Month-to-month,65.87,4,0
A000178,2025-08,Month-to-month,60.45,3,0
A000179,2025-08,Month-to-month,80.28,3,0
A000180,2025-08,Month-to-month,83.93,2,0
A000181,2025-08,Month-to-month,65.21,4,0
A000182,2025-08,Month-to-month,70.07,3,0
A000183,2025-08,Month-to-month,70.76,3,0
A000184,2025-08,Month-to-month,64.53,1,0
A000185,2025-08,Month-to-month,66.27,1,0
A000186,2025-08,Month-to-month,71.36,3,0
A000187,2025-08,Month-to-month,85.46,3,0
A000188,2025-08,Month-to-month,61.35,2,0
A000189,2025-08,Month-to-month,88.73,3,0
A000190,2025-08,Month-to-month,59.45,1,0
A000191,2025-08,Month-to-month,83.56,1,0
A000192,2025-08,Month-to-month,83.8,3,0
A000193,2025-08,Month-to-month,86.43,2,0
A000194,2025-08,Month-to-month,28.48,2,0
A000195,2025-08,Month-to-month,83.88,1,0
A000196,2025-08,Month-to-month,72.35,3,0
A000197,2025-08,Month-to-month,60.95,5,0
A000198,2025-08,Month-to-month,62.57,3,1
A000199,2025-08,Month-to-month,73.07,0,0
A000200,2025-08,Month-to-month,56.38,1,0
A000201,2025-08,Month-to-month,94.27,5,0
A000202,2025-08,Month-to-month,58.0,0,0
A000203,2025-08,Month-to-month,84.85,3,0
A000204,2025-08,Month-to-month,62.16,1,0
A000205,2025-08,Month-to-month,39.43,3,0
A000206,2025-08,Month-to-month,61.47,0,0
A000207,2025-08,Month-to-month,79.62,0,0
A000208,2025-08,Month-to-month,67.22,1,0
A000209,2025-08,Month-to-month,42.79,1,0
A000210,2025-08,Month-to-month,78.2,4,0
A000211,2025-08,Month-to-month,82.03,1,0
A000212,2025-08,Month-to-month,92.64,5,0
A000213,2025-08,Month-to-month,67.72,2,0
A000214,2025-08,Month-to-month,53.33,6,1
A000215,2025-08,Month-to-month,69.18,5,0
A000216,2025-08,Month-to-month,77.7,4,0
A000217,2025-08,Month-to-month,64.88,4,0
A000218,2025-08,Month-to-month,67.04,3,0
A000219,2025-08,Month-to-month,81.96,4,0
A000220,2025-08,Month-to-month,56.78,2,0
A000221,2025-08,Month-to-month,61.8,4,0
A000222,2025-08,Month-to-month,68.01,3,0
A000223,2025-08,Month-to-month,67.17,1,0
A000224,2025-08,Month-to-month,58.87,3,0
A000225,2025-08,Month-to-month,63.85,3,0
A000226,2025-08,Month-to-month,75.27,2,0
A000227,2025-08,Month-to-month,74.11,3,0
A000228,2025-08,Month-to-month,81.1,2,0
A000229,2025-08,Month-to-month,46.81,2,0
A000230,2025-08,Month-to-month,70.6,2,0
A000231,2025-08,Month-to-month,63.3,3,0
A000232,2025-08,Month-to-month,68.35,3,0
A000233,2025-08,Month-to-month,48.35,0,0
A000234,2025-08,Month-to-month,50.85,3,0
A000235,2025-08,Month-to-month,56.2,2,0
A000236,2025-08,Month-to-month,74.98,3,0
A000237,2025-08,Month-to-month,56.72,3,0
A000238,2025-08,Month-to-month,66.88,2,0
A000239,2025-08,Month-to-month,60.63,2,0
A000240,2025-08,Month-to-month,57.89,2,0
A000241,2025-08,Month-to-month,63.75,0,0
A000242,2025-08,Month-to-month,74.32,2,0
A000243,2025-08,Month-to-month,75.23,4,0
A000244,2025-08,Month-to-month,82.29,2,0
A000245,2025-08,Month-to-month,67.12,2,0
A000246,2025-08,Month-to-month,53.85,3,0
A000247,2025-08,Month-to-month,55.33,3,0
A000248,2025-08,Month-to-month,53.31,3,0
A000249,2025-08,Month-to-month,73.6,1,1
A000250,2025-08,Month-to-month,60.78,3,0
A000251,2025-08,Month-to-month,50.94,3,0
A000252,2025-08,Month-to-month,41.28,1,0
A000253,2025-08,Month-to-month,59.8,2,0
A000254,2025-08,Month-to-month,76.35,0,0
A000255,2025-08,Month-to-month,86.38,2,0
A000256,2025-08,Month-to-month,71.41,2,0
A000257,2025-08,Month-to-month,45.69,2,0
A000258,2025-08,Month-to-month,76.37,4,0
A000259,2025-08,Month-to-month,58.45,2,0
A000260,2025-08,Month-to-month,74.3,3,0
A000261,2025-08,Month-to-month,45.82,2,0
A000262,2025-08,Month-to-month,88.59,2,0
A000263,2025-08,Month-to-month,57.62,4,0
A000264,2025-08,Month-to-month,96.27,3,0
A000265,2025-08,Month-to-month,69.52,4,0
A000266,2025-08,Month-to-month,77.06,4,0
A000267,2025-08,Month-to-month,49.12,1,0
A000268,2025-08,Month-to-month,69.14,0,0
A000269,2025-08,Month-to-month,80.98,4,0
A000270,2025-08,Month-to-month,68.67,1,0
A000271,2025-08,Month-to-month,86.44,3,1
A000272,2025-08,Month-to-month,81.87,4,0
A000273,2025-08,Month-to-month,70.62,3,0
A000274,2025-08,Month-to-month,73.35,1,0
A000275,2025-08,Month-to-month,65.26,3,0
A000276,2025-08,Month-to-month,93.1,3,0
A000277,2025-08,Month-to-month,56.09,0,0
A000278,2025-08,Month-to-month,75.68,3,0
A000279,2025-08,Month-to-month,68.13,2,0
A000280,2025-08,Month-to-month,65.2,3,0
A000281,2025-08,Month-to-month,70.31,3,1
A000282,2025-08,Month-to-month,58.29,2,0
A000283,2025-08,Month-to-month,64.5,1,0
A000284,2025-08,Month-to-month,80.51,2,0
A000285,2025-08,Month-to-month,59.21,3,0
A000286,2025-08,Month-to-month,74.12,3,0
A000287,2025-08,Month-to-month,74.0,4,0
A000288,2025-08,Month-to-month,63.65,5,0
A000289,2025-08,Month-to-month,52.57,2,0
A000290,2025-08,Month-to-month,80.84,3,0
A000291,2025-08,Month-to-month,85.03,4,0
A000292,2025-08,Month-to-month,73.72,4,0
A000293,2025-08,Month-to-month,72.55,2,0
A000294,2025-08,Month-to-month,35.72,5,1
A000295,2025-08,Month-to-month,72.43,3,0
A000296,2025-08,Month-to-month,84.5,1,0
A000297,2025-08,Month-to-month,48.76,3,0
A000298,2025-08,Month-to-month,66.52,3,0
A000299,2025-08,Month-to-month,56.93,1,0
A000300,2025-08,Month-to-month,45.53,5,0
A000301,2025-08,Month-to-month,55.97,3,0
A000302,2025-08,Month-to-month,67.88,3,0
A000303,2025-08,Month-to-month,46.58,2,0
A000304,2025-08,Month-to-month,54.81,2,0
A000305,2025-08,Month-to-month,58.32,4,0
A000306,2025-08,Month-to-month,77.53,2,0
A000307,2025-08,Month-to-month,71.45,2,0
A000308,2025-08,Month-to-month,51.95,1,0
A000309,2025-08,Month-to-month,92.81,2,0
A000310,2025-08,Month-to-month,63.61,3,0
A000311,2025-08,Month-to-month,50.72,1,0
A000312,2025-08,Month-to-month,73.59,3,0
A000313,2025-08,Month-to-month,62.33,2,0
A000314,2025-08,Month-to-month,71.11,1,0
A000315,2025-08,Month-to-month,91.45,1,0
A000316,2025-08,Month-to-month,77.21,1,0
A000317,2025-08,Month-to-month,26.11,2,0
A000318,2025-08,Month-to-month,63.93,5,0
A000319,2025-08,Month-to-month,54.91,3,0
A000320,2025-08,Month-to-month,59.15,0,0
A000321,2025-08,Month-to-month,67.17,1,1
A000322,2025-08,Month-to-month,55.43,2,0
A000323,2025-08,Month-to-month,53.24,1,0
A000324,2025-08,Month-to-month,57.36,3,0
A000325,2025-08,Month-to-month,43.38,5,0
A000326,2025-08,Month-to-month,66.98,1,0
A000327,2025-08,Month-to-month,41.24,3,0
A000328,2025-08,Month-to-month,67.46,3,0
A000329,2025-08,Month-to-month,69.09,2,0
A000330,2025-08,Month-to-month,35.2,3,0
A000331,2025-08,Month-to-month,57.35,1,0
A000332,2025-08,Month-to-month,77.22,5,0
A000333,2025-08,Month-to-month,74.49,0,0
A000334,2025-08,Month-to-month,80.33,1,0
A000335,2025-08,Month-to-month,75.0,3,0
A000336,2025-08,Month-to-month,73.26,2,0
A000337,2025-08,Month-to-month,50.34,1,0
A000338,2025-08,Month-to-month,67.38,3,0
A000339,2025-08,Month-to-month,36.99,3,0
A000340,2025-08,Month-to-month,83.92,4,0
A000341,2025-08,Month-to-month,58.24,2,0
A000342,2025-08,Month-to-month,47.9,4,0
A000343,2025-08,Month-to-month,58.89,3,0
A000344,2025-08,Month-to-month,43.61,3,0
A000345,2025-08,Month-to-month,80.49,3,0
A000346,2025-08,Month-to-month,81.83,1,0
A000347,2025-08,Month-to-month,48.32,4,0
A000348,2025-08,Month-to-month,48.04,0,0
A000349,2025-08,Month-to-month,107.56,4,0
A000350,2025-08,Month-to-month,91.21,0,0
A000351,2025-08,Month-to-month,71.98,3,0
A000352,2025-08,Month-to-month,72.49,2,0
A000353,2025-08,Month-to-month,72.44,4,1
A000354,2025-08,Month-to-month,59.51,3,0
A000355,2025-08,Month-to-month,98.82,4,0
A000356,2025-08,Month-to-month,80.31,1,0
A000357,2025-08,Month-to-month,64.73,6,0
A000358,2025-08,Month-to-month,34.87,3,0
A000359,2025-08,Month-to-month,87.38,0,0
A000360,2025-08,Month-to-month,65.07,3,0
A000361,2025-08,Month-to-month,97.07,3,0
A000362,2025-08,Month-to-month,82.47,4,0
A000363,2025-08,Month-to-month,48.05,2,0
A000364,2025-08,Month-to-month,70.25,3,0
A000365,2025-08,Month-to-month,61.99,2,0
A000366,2025-08,Month-to-month,91.69,3,0
A000367,2025-08,Month-to-month,78.75,2,0
A000368,2025-08,Month-to-month,47.6,1,0
A000369,2025-08,Month-to-month,78.8,3,0
A000370,2025-08,Month-to-month,67.67,1,0
A000371,2025-08,Month-to-month,68.58,3,0
A000372,2025-08,Month-to-month,58.98,3,0
A000373,2025-08,Month-to-month,65.97,1,0
A000374,2025-08,Month-to-month,58.29,4,0
A000375,2025-08,Month-to-month,79.75,5,0
A000376,2025-08,Month-to-month,75.34,4,0
A000377,2025-08,Month-to-month,68.92,4,0
A000378,2025-08,Month-to-month,75.68,3,0
A000379,2025-08,Month-to-month,53.0,3,0
A000380,2025-08,Month-to-month,71.33,2,1
A000381,2025-08,Month-to-month,40.14,4,0
A000382,2025-08,Month-to-month,59.71,2,0
A000383,2025-08,Month-to-month,94.4,4,0
A000384,2025-08,Month-to-month,104.62,4,0
A000385,2025-08,Month-to-month,65.16,3,0
A000386,2025-08,Month-to-month,84.63,3,0
A000387,2025-08,Month-to-month,51.88,5,0
A000388,2025-08,Month-to-month,61.39,2,0
A000389,2025-08,Month-to-month,54.24,1,0
A000390,2025-08,Month-to-month,86.56,1,0
A000391,2025-08,Month-to-month,47.52,3,0
A000392,2025-08,Month-to-month,75.27,0,0
A000393,2025-08,Month-to-month,80.55,4,0
A000394,2025-08,Month-to-month,59.69,3,0
A000395,2025-08,Month-to-month,51.41,1,0
A000396,2025-08,Month-to-month,97.21,1,0
A000397,2025-08,Month-to-month,78.61,0,0
A000398,2025-08,Month-to-month,64.06,2,0
A000399,2025-08,Month-to-month,79.48,4,0
A000400,2025-08,Month-to-month,91.32,1,0
A000401,2025-08,Month-to-month,61.65,3,0
A000402,2025-08,Month-to-month,77.72,3,0
A000403,2025-08,Month-to-month,93.72,4,0
A000404,2025-08,Month-to-month,49.11,3,0
A000405,2025-08,Month-to-month,80.63,4,0
A000406,2025-08,Month-to-month,60.88,3,0
A000407,2025-08,Month-to-month,78.62,2,0
A000408,2025-08,Month-to-month,73.82,2,0
A000409,2025-08,Month-to-month,86.77,1,0
A000410,2025-08,Month-to-month,63.05,3,0
A000411,2025-08,Month-to-month,36.66,1,0
A000412,2025-08,Month-to-month,44.0,1,0
A000413,2025-08,Month-to-month,87.2,4,1
A000414,2025-08,Month-to-month,56.49,3,0
A000415,2025-08,Month-to-month,61.44,2,0
A000416,2025-08,Month-to-month,60.06,4,0
A000417,2025-08,Month-to-month,98.63,2,0
A000418,2025-08,Month-to-month,43.15,1,0
A000419,2025-08,Month-to-month,55.9,0,0
A000420,2025-08,Month-to-month,65.44,2,1
A000421,2025-08,Month-to-month,57.07,2,0
A000422,2025-08,Month-to-month,29.38,4,0
A000423,2025-08,Month-to-month,51.34,1,0
A000424,2025-08,Month-to-month,61.59,3,0
A000425,2025-08,Month-to-month,61.44,0,0
A000426,2025-08,Month-to-month,64.17,2,0
A000427,2025-08,Month-to-month,34.74,4,0
A000428,2025-08,Month-to-month,61.24,0,0
A000429,2025-08,Month-to-month,82.86,2,0
A000430,2025-08,Month-to-month,71.32,1,0
A000431,2025-08,Month-to-month,70.61,3,0
A000432,2025-08,Month-to-month,52.05,3,1
A000433,2025-08,Month-to-month,82.42,3,0
A000434,2025-08,Month-to-month,69.75,1,0
A000435,2025-08,Month-to-month,69.1,3,0
A000436,2025-08,Month-to-month,64.49,4,0
A000437,2025-08,Month-to-month,57.07,1,0
A000438,2025-08,Month-to-month,79.92,2,0
A000439,2025-08,Month-to-month,71.57,1,0
A000440,2025-08,Month-to-month,80.58,0,0
A000441,2025-08,Month-to-month,82.98,5,0
A000442,2025-08,Month-to-month,76.9,3,0
A000443,2025-08,Month-to-month,71.3,3,0
A000444,2025-08,Month-to-month,63.21,4,0
A000445,2025-08,Month-to-month,58.37,3,1
A000446,2025-08,Month-to-month,59.88,5,0
A000447,2025-08,Month-to-month,76.63,3,0
A000448,2025-08,Month-to-month,55.53,0,0
A000449,2025-08,Month-to-month,64.52,0,0
A000450,2025-08,Month-to-month,97.21,1,0
A000451,2025-08,Month-to-month,91.39,3,0
A000452,2025-08,Month-to-month,51.07,4,0
A000453,2025-08,Month-to-month,40.21,1,0
A000454,2025-08,Month-to-month,52.69,1,0
A000455,2025-08,Month-to-month,94.28,3,0
A000456,2025-08,Month-to-month,71.15,2,0
A000457,2025-08,Month-to-month,76.65,1,0
A000458,2025-08,Month-to-month,102.01,1,0
A000459,2025-08,Month-to-month,65.4,4,0
A000460,2025-08,Month-to-month,67.97,1,0
A000461,2025-08,Month-to-month,46.67,1,0
A000462,2025-08,Month-to-month,58.38,4,0
A000463,2025-08,Month-to-month,65.86,0,0
A000464,2025-08,Month-to-month,73.81,4,0
A000465,2025-08,Month-to-month,71.4,0,0
A000466,2025-08,Month-to-month,61.79,1,0
A000467,2025-08,Month-to-month,69.41,2,0
A000468,2025-08,Month-to-month,51.94,2,0
A000469,2025-08,Month-to-month,70.19,1,0
A000470,2025-08,Month-to-month,50.45,4,0
A000471,2025-08,Month-to-month,74.75,4,0
A000472,2025-08,Month-to-month,76.63,4,0
A000473,2025-08,Month-to-month,62.84,4,0
A000474,2025-08,Month-to-month,83.38,4,0
A000475,2025-08,Month-to-month,61.58,1,0
A000476,2025-08,Month-to-month,43.0,3,0
A000477,2025-08,Month-to-month,79.02,4,0
A000478,2025-08,Month-to-month,56.63,3,0
A000479,2025-08,Month-to-month,81.07,2,0
A000480,2025-08,Month-to-month,46.63,3,0
A000481,2025-08,Month-to-month,38.06,3,0
A000482,2025-08,Month-to-month,67.06,3,0
A000483,2025-08,Month-to-month,97.84,2,0
A000484,2025-08,Month-to-month,67.78,1,0
A000485,2025-08,Month-to-month,74.39,0,0
A000486,2025-08,Month-to-month,71.37,2,0
A000487,2025-08,Month-to-month,51.47,2,0
A000488,2025-08,Month-to-month,75.42,3,0
A000489,2025-08,Month-to-month,63.95,0,0
A000490,2025-08,Month-to-month,53.39,0,0
A000491,2025-08,Month-to-month,62.08,2,0
A000492,2025-08,Month-to-month,32.6,2,0
A000493,2025-08,Month-to-month,72.06,4,0
A000494,2025-08,Month-to-month,75.8,6,1
A000495,2025-08,Month-to-month,47.08,1,0
A000496,2025-08,Month-to-month,42.9,2,0
A000497,2025-08,Month-to-month,57.47,1,0
A000498,2025-08,Month-to-month,62.63,2,0
A000499,2025-08,Month-to-month,82.35,1,0
A000500,2025-08,Month-to-month,73.41,3,0
A000501,2025-08,Month-to-month,75.81,1,1
A000502,2025-08,Month-to-month,72.11,1,0
A000503,2025-08,Month-to-month,81.95,2,0
A000504,2025-08,Month-to-month,82.6,4,0
A000505,2025-08,Month-to-month,83.88,4,0
A000506,2025-08,Month-to-month,72.74,1,0
A000507,2025-08,Month-to-month,58.33,3,0
A000508,2025-08,Month-to-month,112.23,2,0
A000509,2025-08,Month-to-month,65.76,1,0
A000510,2025-08,Month-to-month,63.29,2,0
A000511,2025-08,Month-to-month,68.47,2,0
A000512,2025-08,Month-to-month,80.09,1,0
A000513,2025-08,Month-to-month,78.67,2,0
A000514,2025-08,Month-to-month,42.37,5,0
A000515,2025-08,Month-to-month,72.03,3,0
A000516,2025-08,Month-to-month,75.64,3,0
A000517,2025-08,Month-to-month,74.5,4,0
A000518,2025-08,Month-to-month,30.27,4,0
A000519,2025-08,Month-to-month,73.66,3,0
A000520,2025-08,Month-to-month,80.96,3,0
A000521,2025-08,One-year,70.83,1,0
A000522,2025-08,One-year,77.28,3,0
A000523,2025-08,One-year,85.39,1,0
A000524,2025-08,One-year,57.68,2,0
A000525,2025-08,One-year,67.96,0,0
A000526,2025-08,One-year,61.1,3,0
A000527,2025-08,One-year,70.86,0,0
A000528,2025-08,One-year,77.69,3,0
A000529,2025-08,One-year,79.19,2,0
A000530,2025-08,One-year,66.2,3,0
A000531,2025-08,One-year,80.78,0,0
A000532,2025-08,One-year,80.62,3,0
A000533,2025-08,One-year,69.99,1,0
A000534,2025-08,One-year,73.74,1,0
A000535,2025-08,One-year,82.81,3,0
A000536,2025-08,One-year,94.37,0,0
A000537,2025-08,One-year,72.06,0,0
A000538,2025-08,One-year,60.41,0,0
A000539,2025-08,One-year,68.27,0,0
A000540,2025-08,One-year,94.96,0,0
A000541,2025-08,One-year,84.07,1,0
A000542,2025-08,One-year,87.67,2,0
A000543,2025-08,One-year,88.91,3,0
A000544,2025-08,One-year,89.0,2,0
A000545,2025-08,One-year,79.06,2,0
A000546,2025-08,One-year,67.44,1,0
A000547,2025-08,One-year,75.38,2,0
A000548,2025-08,One-year,73.3,1,0
A000549,2025-08,One-year,89.37,2,0
A000550,2025-08,One-year,86.38,2,0
A000551,2025-08,One-year,89.55,4,0
A000552,2025-08,One-year,81.43,3,1
A000553,2025-08,One-year,107.99,0,0
A000554,2025-08,One-year,72.52,2,0
A000555,2025-08,One-year,63.31,1,0
A000556,2025-08,One-year,78.54,2,0
A000557,2025-08,One-year,55.32,4,0
A000558,2025-08,One-year,58.43,0,0
A000559,2025-08,One-year,68.62,0,0
A000560,2025-08,One-year,67.56,1,0
A000561,2025-08,One-year,79.57,1,0
A000562,2025-08,One-year,77.47,1,0
A000563,2025-08,One-year,78.84,0,0
A000564,2025-08,One-year,92.32,1,0
A000565,2025-08,One-year,87.07,2,0
A000566,2025-08,One-year,79.34,0,1
A000567,2025-08,One-year,97.48,1,0
A000568,2025-08,One-year,95.75,3,0
A000569,2025-08,One-year,72.11,0,0
A000570,2025-08,One-year,52.59,1,0
A000571,2025-08,One-year,50.99,1,0
A000572,2025-08,One-year,80.95,1,0
A000573,2025-08,One-year,74.62,3,0
A000574,2025-08,One-year,81.59,1,0
A000575,2025-08,One-year,73.7,3,0
A000576,2025-08,One-year,100.4,1,0
A000577,2025-08,One-year,51.39,2,0
A000578,2025-08,One-year,72.7,0,0
A000579,2025-08,One-year,110.01,1,0
A000580,2025-08,One-year,67.25,3,0
A000581,2025-08,One-year,42.07,1,0
A000582,2025-08,One-year,68.39,3,0
A000583,2025-08,One-year,71.3,1,0
A000584,2025-08,One-year,71.67,0,0
A000585,2025-08,One-year,105.51,0,0
A000586,2025-08,One-year,48.07,2,0
A000587,2025-08,One-year,83.61,1,0
A000588,2025-08,One-year,34.46,0,0
A000589,2025-08,One-year,75.16,3,0
A000590,2025-08,One-year,101.68,1,0
