order_id,order_date,category,revenue_usd,returned,ship_days
O017584,2026-07-26,Electronics,159.93,0,4
O005130,2025-11-29,Electronics,222.23,0,3
O005594,2025-11-29,Home,98.74,0,7
O003580,2025-10-20,Electronics,112.06,0,3
O012709,2026-04-11,Apparel,68.4,0,3
O001392,2025-09-29,Apparel,92.3,1,4
O014747,2026-05-27,Electronics,156.97,0,3
O014280,2026-05-16,Apparel,31.68,0,3
O013697,2026-05-19,Apparel,89.74,0,3
O014570,2026-05-03,Electronics,8,0,2
O005680,2025-11-01,Home,150.01,0,5
O006739,2025-12-28,Electronics,99.1,0,4
O006670,2025-12-07,Electronics,91.11,0,4
O018205,2026-07-11,Home,56.69,0,4
O009705,2026-02-26,Apparel,52.57,0,5
O011191,2026-03-05,Apparel,145.44,0,3
O000968,2025-08-26,Home,8,0,5
O002496,2025-09-03,Home,119.1,0,5
O005913,2025-12-26,Apparel,94.98,0,2
O016214,2026-06-28,Electronics,42.09,0,5
O010585,2026-02-15,Home,22.5,1,3
O016556,2026-06-14,Home,98.02,0,2
O007984,2026-01-07,Apparel,51.71,0,4
O007856,2026-01-16,Apparel,67.94,0,4
O006726,2025-12-29,Electronics,181.39,1,3
O010077,2026-02-07,Electronics,133.33,0,2
O009361,2026-02-21,Apparel,105.95,1,3
O009055,2026-01-01,Home,21.27,1,3
O013234,2026-04-23,Electronics,239.8,0,2
O000114,2025-08-17,Apparel,73.17,0,5
O006429,2025-12-09,Apparel,52.71,0,4
O006704,2025-12-09,Electronics,116.41,0,1
O017280,2026-07-19,Apparel,54.56,1,4
O008012,2026-01-15,Apparel,74.13,0,4
O000187,2025-08-03,Apparel,52.71,0,3
O000605,2025-08-22,Electronics,233.14,0,4
O007330,2025-12-18,Home,113.81,0,3
O008277,2026-01-27,Apparel,99.11,0,3
O015300,2026-06-20,Apparel,40.4,0,2
O015478,2026-06-29,Apparel,27.84,0,4
O010760,2026-03-26,Apparel,26.55,0,3
O017193,2026-07-28,Apparel,83.53,0,4
O004043,2025-10-20,Home,29.08,0,5
O008310,2026-01-25,Apparel,27.32,0,3
O003588,2025-10-05,Electronics,179.0,0,3
O011437,2026-03-03,Electronics,163.58,0,3
O015279,2026-06-05,Apparel,48.59,0,4
O001516,2025-09-25,Apparel,30.87,1,4
O014311,2026-05-20,Apparel,42.63,0,4
O016180,2026-06-27,Electronics,130.88,1,3
O016166,2026-06-14,Electronics,69.23,0,2
O017513,2026-07-10,Electronics,160.04,0,2
O016419,2026-06-22,Home,67.0,0,3
O004708,2025-11-23,Apparel,48.83,0,5
O002162,2025-09-26,Electronics,184.16,0,2
O006134,2025-12-13,Apparel,86.0,1,1
O006485,2025-12-20,Apparel,40.47,1,1
O015425,2026-06-20,Apparel,78.7,0,5
O001060,2025-08-08,Home,91.8,0,3
O017496,2026-07-20,Electronics,226.48,0,2
O017954,2026-07-31,Electronics,142.53,0,3
O013224,2026-04-06,Electronics,164.43,0,2
O009965,2026-02-19,Electronics,213.86,0,3
O005034,2025-11-30,Electronics,152.94,1,2
O013916,2026-05-15,Apparel,29.48,0,1
O003942,2025-10-09,Home,8,1,2
O016361,2026-06-13,Electronics,192.37,0,4
O009295,2026-02-22,Apparel,56.19,0,3
O000678,2025-08-15,Electronics,233.95,0,3
O003856,2025-10-11,Home,56.0,0,2
O013754,2026-05-09,Apparel,85.46,0,1
O014611,2026-05-12,Electronics,189.32,0,1
O015808,2026-06-19,Apparel,85.18,0,1
O013677,2026-04-08,Home,41.43,0,3
O013927,2026-05-07,Apparel,83.56,0,3
O001036,2025-08-16,Home,51.95,0,5
O015728,2026-06-26,Apparel,114.02,0,4
O012997,2026-04-18,Electronics,179.06,0,2
O002954,2025-10-14,Apparel,63.64,0,3
O010943,2026-03-12,Apparel,75.59,0,4
O003530,2025-10-13,Electronics,191.41,0,1
O000652,2025-08-15,Electronics,60.34,0,4
O010900,2026-03-31,Apparel,94.76,0,2
O007098,2025-12-20,Electronics,105.13,0,3
O006786,2025-12-26,Electronics,157.07,0,2
O003623,2025-10-11,Electronics,22.73,0,4
O009521,2026-02-15,Apparel,41.9,1,3
O009511,2026-02-14,Apparel,71.07,0,7
O015688,2026-06-06,Apparel,80.75,1,2
O012196,2026-04-20,Apparel,78.06,0,5
O010435,2026-02-08,Home,84.27,0,3
O010579,2026-02-20,Home,50.68,0,4
O002148,2025-09-18,Electronics,8,0,4
O012658,2026-04-12,Apparel,48.09,1,2
O008586,2026-01-20,Electronics,201.51,1,3
O007181,2025-12-25,Electronics,71.53,0,3
O017725,2026-07-06,Electronics,172.93,0,1
O013141,2026-04-17,Electronics,228.52,0,2
O011401,2026-03-02,Electronics,212.73,0,3
O006882,2025-12-23,Electronics,257.63,0,5
O010257,2026-02-18,Electronics,126.0,0,3
O008992,2026-01-20,Home,99.04,0,2
O001883,2025-09-05,Electronics,127.91,0,4
O005105,2025-11-14,Electronics,187.68,0,3
O010117,2026-02-02,Electronics,75.94,0,4
O012376,2026-04-15,Apparel,37.29,0,4
O017103,2026-07-26,Apparel,103.68,0,3
O015167,2026-05-21,Home,112.32,0,2
O007350,2025-12-26,Home,56.56,0,4
O008601,2026-01-22,Electronics,134.43,0,4
O013887,2026-05-21,Apparel,97.59,0,3
O002960,2025-10-07,Apparel,61.6,0,4
O013913,2026-05-10,Apparel,43.99,0,4
O015819,2026-06-02,Apparel,68.43,1,3
O013685,2026-05-29,Apparel,79.42,0,1
O008574,2026-01-16,Electronics,130.14,0,4
O004432,2025-11-30,Apparel,70.36,0,3
O007486,2025-12-24,Home,78.64,0,3
O016184,2026-06-04,Electronics,170.64,0,5
O010609,2026-02-03,Home,101.26,1,3
O016327,2026-06-13,Electronics,230.94,1,2
O016688,2026-06-13,Home,95.32,0,2
O018059,2026-07-01,Home,129.32,0,3
O016595,2026-06-30,Home,70.28,0,4
O002592,2025-09-29,Home,41.38,0,4
O009269,2026-02-07,Apparel,99.0,0,3
O012909,2026-04-05,Electronics,115.19,0,3
O013536,2026-04-13,Home,68.96,0,3
O003738,2025-10-14,Home,65.73,0,7
O012137,2026-03-02,Home,91.83,0,3
O016353,2026-06-15,Electronics,270.49,1,3
O017431,2026-07-01,Apparel,109.87,0,4
O004334,2025-11-26,Apparel,39.07,0,2
O002059,2025-09-29,Electronics,112.96,1,3
O017772,2026-07-11,Electronics,34.7,1,3
O004581,2025-11-01,Apparel,10.42,0,4
O003247,2025-10-26,Apparel,20.43,1,3
O014400,2026-05-23,Electronics,157.55,0,4
O014364,2026-05-02,Electronics,96.25,0,2
O004002,2025-10-11,Home,53.09,0,5
O004695,2025-11-28,Apparel,62.71,0,1
O012026,2026-03-25,Home,75.84,0,4
O017281,2026-07-01,Apparel,39.24,0,2
O005424,2025-11-02,Home,10.44,0,4
O014969,2026-05-24,Home,72.84,0,3
O014175,2026-05-26,Apparel,86.54,1,2
O011653,2026-03-01,Electronics,235.81,0,3
O009244,2026-02-26,Apparel,35.48,1,3
O016627,2026-06-27,Home,53.73,0,3
O012979,2026-04-08,Electronics,85.62,0,3
O000126,2025-08-05,Apparel,30.2,0,3
O012115,2026-03-21,Home,70.56,0,4
O003662,2025-10-19,Electronics,175.53,0,1
O006424,2025-12-09,Apparel,95.91,0,4
O018292,2026-07-12,Home,62.42,0,4
O013277,2026-04-29,Home,50.5,1,2
O012808,2026-04-24,Electronics,192.29,0,4
O003316,2025-10-10,Electronics,187.59,0,3
O006373,2025-12-05,Apparel,81.05,1,4
O008948,2026-01-23,Home,48.63,0,3
O009938,2026-02-10,Electronics,81.6,0,2
O009656,2026-02-21,Apparel,73.41,0,3
O000124,2025-08-07,Apparel,63.69,0,2
O008061,2026-01-07,Apparel,58.69,1,3
O001268,2025-08-11,Home,81.2,0,4
O012354,2026-04-23,Apparel,49.56,0,3
O018249,2026-07-04,Home,71.99,0,5
O000702,2025-08-17,Electronics,167.73,0,4
O008517,2026-01-30,Electronics,224.02,0,6
O004086,2025-10-02,Home,11.66,0,4
O008093,2026-01-15,Apparel,86.28,0,3
O017365,2026-07-10,Apparel,92.18,0,4
O015174,2026-05-01,Home,122.7,0,4
O011713,2026-03-26,Electronics,125.86,0,3
O013923,2026-05-20,Apparel,44.35,0,6
O016385,2026-06-11,Electronics,204.85,0,3
O007859,2026-01-18,Apparel,48.17,1,4
O011891,2026-03-24,Home,49.46,0,4
O011050,2026-03-30,Apparel,41.02,0,2
O006195,2025-12-05,Apparel,28.55,0,3
O010006,2026-02-04,Electronics,127.68,0,3
O015984,2026-06-15,Electronics,132.8,0,3
O005169,2025-11-06,Electronics,39.34,0,3
O009152,2026-01-31,Home,142.9,1,2
O007954,2026-01-12,Apparel,58.37,0,4
O004830,2025-11-11,Electronics,58.19,0,2
O014212,2026-05-04,Apparel,115.72,0,3
O016607,2026-06-22,Home,8,0,3
O004721,2025-11-20,Apparel,49.15,1,4
O016911,2026-07-31,Apparel,44.35,0,2
O010669,2026-02-04,Home,49.99,0,4
O004038,2025-10-23,Home,84.41,0,1
O007965,2026-01-03,Apparel,57.95,1,4
O008472,2026-01-22,Electronics,264.89,1,3
O003404,2025-10-19,Electronics,200.71,0,5
O002984,2025-10-12,Apparel,71.22,0,4
O004285,2025-11-01,Apparel,50.25,0,2
O016755,2026-06-01,Home,72.74,0,4
O009508,2026-02-25,Apparel,31.92,0,3
O009357,2026-02-07,Apparel,26.23,0,4
O013342,2026-04-22,Home,99.72,0,1
O005141,2025-11-29,Electronics,158.89,1,3
O016001,2026-06-12,Electronics,144.6,0,4
O001201,2025-08-26,Home,41.23,0,2
O018311,2026-07-22,Home,55.47,1,3
O006088,2025-12-14,Apparel,55.49,0,2
O018273,2026-07-28,Home,69.19,0,2
O004772,2025-11-07,Electronics,146.21,0,4
O001479,2025-09-10,Apparel,68.55,0,5
O010769,2026-03-16,Apparel,84.74,0,3
O011114,2026-03-11,Apparel,76.69,0,3
O008448,2026-01-17,Electronics,161.96,0,3
O004476,2025-11-25,Apparel,38.85,0,3
O009650,2026-02-13,Apparel,40.15,0,3
O006986,2025-12-27,Electronics,132.83,0,4
O017716,2026-07-05,Electronics,178.81,0,1
O011069,2026-03-30,Apparel,54.91,0,2
O003749,2025-10-03,Home,73.33,0,4
O004999,2025-11-23,Electronics,112.88,0,4
O014233,2026-05-06,Apparel,20.11,0,4
O002716,2025-10-10,Apparel,131.69,0,4
O016676,2026-06-12,Home,108.88,0,3
O007226,2025-12-24,Home,80.59,0,2
O016144,2026-06-10,Electronics,240.33,0,2
O014902,2026-05-22,Home,77.69,0,2
O007405,2025-12-16,Home,116.25,0,5
O002710,2025-09-11,Home,82.98,0,4
O008937,2026-01-15,Home,104.69,0,5
O003103,2025-10-14,Apparel,71.27,0,2
O012118,2026-03-28,Home,113.11,0,4
O016646,2026-06-13,Home,113.82,0,3
O008135,2026-01-17,Apparel,64.01,1,3
O015350,2026-06-14,Apparel,110.86,0,2
O015695,2026-06-25,Apparel,8,0,4
O014791,2026-05-16,Electronics,104.77,0,2
O003515,2025-10-18,Electronics,186.09,1,3
O002443,2025-09-20,Home,106.0,1,3
O006587,2025-12-04,Electronics,79.23,0,3
O014339,2026-05-27,Electronics,174.13,0,3
O017738,2026-07-17,Electronics,179.66,0,3
O014813,2026-05-18,Home,78.32,0,5
O003816,2025-10-01,Home,147.89,0,2
O003239,2025-10-19,Apparel,52.7,1,3
O003729,2025-10-31,Electronics,218.42,0,3
O000371,2025-08-05,Apparel,59.07,0,5
O007618,2025-12-31,Home,80.07,0,3
O005452,2025-11-14,Home,74.77,0,3
O008923,2026-01-30,Home,62.1,0,2
O015910,2026-06-23,Electronics,198.64,0,3
O012681,2026-04-28,Apparel,63.07,0,2
O005374,2025-11-26,Home,114.48,0,1
O016612,2026-06-07,Home,72.77,0,2
O009643,2026-02-03,Apparel,58.04,0,4
O009704,2026-02-27,Apparel,93.17,1,2
O014990,2026-05-11,Home,143.73,0,4
O001091,2025-08-22,Home,97.06,0,4
O016977,2026-07-24,Apparel,81.0,0,2
O008442,2026-01-31,Electronics,76.73,0,3
O014495,2026-05-30,Electronics,158.02,0,3
O011543,2026-03-07,Electronics,266.1,0,4
O003607,2025-10-01,Electronics,50.62,0,2
O009217,2026-02-09,Apparel,8,0,3
O017550,2026-07-31,Electronics,230.69,0,3
O009746,2026-02-26,Apparel,78.55,0,4
O015466,2026-06-10,Apparel,29.55,0,4
O013675,2026-04-05,Home,99.58,1,2
O009127,2026-01-19,Home,17.89,0,2
O011626,2026-03-09,Electronics,243.92,0,4
O008943,2026-01-26,Home,94.73,0,5
O000445,2025-08-26,Apparel,73.95,0,2
O008832,2026-01-03,Home,51.87,0,2
O000119,2025-08-13,Apparel,73.4,1,3
O001581,2025-09-19,Apparel,56.89,0,3
O015191,2026-05-14,Home,39.34,0,3
O017090,2026-07-06,Apparel,37.29,0,3
O006308,2025-12-12,Apparel,49.17,0,4
O006947,2025-12-19,Electronics,138.36,0,4
O004053,2025-10-11,Home,80.05,0,3
O013362,2026-04-10,Home,152.38,0,1
O010052,2026-02-14,Electronics,146.73,0,3
O009571,2026-02-24,Apparel,53.63,0,3
O007847,2026-01-13,Apparel,48.53,1,3
O015642,2026-06-29,Apparel,96.75,0,3
O015361,2026-06-25,Apparel,90.65,0,3
O012290,2026-04-08,Apparel,21.88,0,2
O008355,2026-01-07,Electronics,226.12,0,4
O009378,2026-02-25,Apparel,25.27,1,3
O016375,2026-06-08,Electronics,198.76,0,5
O009915,2026-02-27,Electronics,183.57,0,5
O013944,2026-05-21,Apparel,100.91,0,3
O015994,2026-06-22,Electronics,42.06,0,2
O009320,2026-02-19,Apparel,87.15,0,3
O015905,2026-06-04,Electronics,129.11,0,2
O005983,2025-12-28,Apparel,86.98,1,2
O005837,2025-12-10,Apparel,96.1,0,4
O009173,2026-01-12,Home,29.48,0,3
O015953,2026-06-21,Electronics,219.99,0,1
O004379,2025-11-18,Apparel,61.56,1,4
O018428,2026-07-20,Home,77.63,0,2
O008611,2026-01-28,Electronics,13.21,0,4
O004914,2025-11-28,Electronics,235.78,0,2
O010865,2026-03-05,Apparel,32.21,0,4
O007566,2025-12-23,Home,92.17,1,1
O010892,2026-03-01,Apparel,42.45,0,5
O004362,2025-11-19,Apparel,74.76,0,2
O002822,2025-10-12,Apparel,41.93,0,3
O013414,2026-04-22,Home,131.07,0,1
O003598,2025-10-17,Electronics,134.3,0,4
O006502,2025-12-16,Apparel,64.38,0,6
O007252,2025-12-15,Home,74.86,1,4
O007062,2025-12-13,Electronics,104.57,0,2
O015619,2026-06-01,Apparel,91.01,0,4
O009933,2026-02-22,Electronics,144.75,0,3
O015185,2026-05-01,Home,106.76,0,5
O000776,2025-08-18,Electronics,230.42,0,4
O010908,2026-03-28,Apparel,55.21,0,1
O011630,2026-03-23,Electronics,47.52,0,4
O003720,2025-10-08,Electronics,209.41,0,3
O017936,2026-07-05,Electronics,162.21,1,2
O011545,2026-03-14,Electronics,99.41,0,4
O009764,2026-02-28,Apparel,68.6,0,2
O000183,2025-08-18,Apparel,14.23,0,1
O017105,2026-07-27,Apparel,68.98,0,4
O002226,2025-09-07,Electronics,176.75,0,3
O005404,2025-11-21,Home,96.55,0,5
O011369,2026-03-31,Electronics,79.69,0,1
O009374,2026-02-05,Apparel,75.53,0,3
O000841,2025-08-09,Electronics,152.58,0,3
O011695,2026-03-06,Electronics,87.72,0,4
O013010,2026-04-20,Electronics,264.21,0,4
O001448,2025-09-04,Apparel,58.63,0,2
O013520,2026-04-12,Home,34.29,0,4
O005321,2025-11-11,Home,132.51,0,3
O007359,2025-12-13,Home,82.79,0,4
O001649,2025-09-28,Apparel,61.94,0,3
O016359,2026-06-24,Electronics,165.1,0,5
O004040,2025-10-26,Home,111.29,0,4
O000925,2025-08-03,Electronics,149.05,0,3
O010487,2026-02-05,Home,102.78,0,1
O014139,2026-05-22,Apparel,91.33,0,4
O012652,2026-04-19,Apparel,94.39,0,4
O002411,2025-09-29,Home,119.07,0,2
O009229,2026-02-01,Apparel,25.54,0,4
O010984,2026-03-25,Apparel,37.48,0,3
O009468,2026-02-20,Apparel,60.81,0,3
O017238,2026-07-23,Apparel,49.49,0,5
O013941,2026-05-01,Apparel,94.04,0,3
O015077,2026-05-05,Home,104.34,0,3
O011976,2026-03-20,Home,86.81,0,3
O003312,2025-10-12,Electronics,190.82,0,3
O002964,2025-10-31,Apparel,44.19,0,4
O018161,2026-07-17,Home,66.12,0,2
O002452,2025-09-30,Home,136.86,0,4
O010970,2026-03-11,Apparel,90.06,1,4
O001810,2025-09-30,Apparel,59.07,0,4
O017169,2026-07-20,Apparel,102.46,1,1
O008400,2026-01-28,Electronics,52.31,0,3
O011286,2026-03-14,Electronics,169.4,0,2
O015282,2026-06-15,Apparel,8,0,3
O005538,2025-11-22,Home,114.01,0,4
O005041,2025-11-12,Electronics,224.31,0,4
O014259,2026-05-12,Apparel,34.5,1,3
O009414,2026-02-26,Apparel,8,0,5
O012389,2026-04-07,Apparel,8,0,3
O007142,2025-12-20,Electronics,200.51,0,2
O000341,2025-08-23,Apparel,72.12,0,4
O015269,2026-06-25,Apparel,81.2,0,2
O008444,2026-01-26,Electronics,156.51,0,2
O005603,2025-11-03,Home,96.75,0,4
O000238,2025-08-18,Apparel,105.91,0,5
O005472,2025-11-02,Home,110.75,0,3
O001343,2025-09-15,Apparel,52.5,0,3
O017379,2026-07-25,Apparel,65.79,0,3
O014688,2026-05-19,Electronics,275.37,1,1
O004096,2025-10-14,Home,77.94,0,4
O009545,2026-02-15,Apparel,26.76,0,1
O013298,2026-04-27,Home,102.96,0,3
O006135,2025-12-09,Apparel,95.82,0,2
O007644,2025-12-25,Home,8,1,2
O006438,2025-12-14,Apparel,66.63,0,5
O014762,2026-05-20,Electronics,167.15,0,2
O016174,2026-06-25,Electronics,90.65,1,2
O000842,2025-08-09,Electronics,190.78,0,6
O009616,2026-02-22,Apparel,81.03,1,3
O010480,2026-02-21,Home,13.92,0,5
O002229,2025-09-26,Electronics,194.69,0,3
O006302,2025-12-23,Apparel,39.13,0,4
O002328,2025-09-28,Electronics,107.31,0,4
O004749,2025-11-26,Apparel,49.83,0,5
O005494,2025-11-23,Home,17.63,0,5
O011858,2026-03-26,Home,99.97,0,3
O000447,2025-08-23,Apparel,117.11,0,5
O004902,2025-11-16,Electronics,55.79,0,5
O016312,2026-06-13,Electronics,148.61,0,3
O005289,2025-11-21,Electronics,134.73,0,4
O001428,2025-09-19,Apparel,31.58,0,5
O000520,2025-08-01,Apparel,64.29,0,3
O009589,2026-02-15,Apparel,97.48,0,3
O002190,2025-09-07,Electronics,166.42,0,5
O001279,2025-08-21,Home,114.56,0,5
O002885,2025-10-06,Apparel,31.56,0,5
O013962,2026-05-01,Apparel,108.48,0,1
O006930,2025-12-30,Electronics,95.72,0,3
O004472,2025-11-23,Apparel,89.06,0,3
O011718,2026-03-06,Electronics,128.04,0,2
O001692,2025-09-22,Apparel,89.15,0,4
O002579,2025-09-14,Home,79.01,0,4
O007850,2026-01-12,Apparel,72.98,0,2
O000636,2025-08-27,Electronics,8,1,2
O007521,2025-12-03,Home,55.58,0,3
O017354,2026-07-01,Apparel,86.38,0,3
O011576,2026-03-03,Electronics,98.76,0,2
O006597,2025-12-08,Electronics,85.79,0,4
O014577,2026-05-15,Electronics,232.4,0,3
O017841,2026-07-11,Electronics,213.66,0,2
O009844,2026-02-26,Electronics,279.15,0,3
O001314,2025-08-25,Home,189.69,0,4
O009790,2026-02-27,Apparel,37.16,0,1
O014056,2026-05-14,Apparel,75.22,0,4
