claim_id,open_date,line,cycle_days,paid_amount_usd,subrogation_recovered
L004435,2026-05-01,Auto,19,4258,0
L003126,2026-02-12,Property,48,12932,0
L004497,2026-05-12,Auto,14,5702,0
L004795,2026-05-20,Liability,69,13989,0
L002321,2025-12-09,Liability,18,28967,0
L004651,2026-05-05,Property,35,10629,0
L001565,2025-11-10,Auto,60,300,0
L000205,2025-08-21,Auto,45,3704,0
L001907,2025-12-15,Auto,56,5033,0
L001689,2025-11-24,Property,22,300,0
L000886,2025-09-01,Liability,54,300,0
L005559,2026-07-23,Property,22,300,0
L004219,2026-04-29,Property,48,7759,0
L000977,2025-10-30,Auto,50,7688,0
L004662,2026-05-01,Property,25,5950,0
L005479,2026-07-31,Auto,16,11379,0
L000178,2025-08-16,Auto,28,2304,0
L002511,2026-01-26,Auto,15,6023,0
L005492,2026-07-31,Auto,6,3000,0
L000032,2025-08-24,Auto,49,5914,0
L000928,2025-10-01,Auto,30,7052,0
L000910,2025-10-24,Auto,30,1595,0
L004599,2026-05-14,Property,26,300,0
L003407,2026-03-21,Auto,13,2271,0
L001186,2025-10-05,Property,81,1921,0
L005076,2026-06-07,Property,36,10605,0
L001274,2025-10-11,Property,36,1473,0
L000322,2025-08-01,Property,40,10214,0
L002729,2026-01-04,Property,59,3525,0
L002857,2026-01-21,Liability,100,300,0
L002718,2026-01-06,Property,55,300,0
L005334,2026-07-18,Auto,27,11209,1
L003204,2026-02-03,Property,41,9426,0
L001548,2025-11-27,Auto,60,4001,0
L003200,2026-02-15,Property,37,14676,0
L004646,2026-05-05,Property,15,13426,0
L001408,2025-11-10,Auto,27,6542,0
L002610,2026-01-07,Property,82,12032,1
L003754,2026-03-23,Liability,76,15335,0
L001149,2025-10-16,Property,40,6969,0
L002598,2026-01-28,Property,23,618,1
L003304,2026-02-20,Liability,43,14279,0
L002225,2025-12-22,Property,75,11694,0
L000905,2025-09-04,Liability,58,21565,0
L003458,2026-03-16,Auto,18,7977,0
L004345,2026-05-22,Auto,17,549,1
L001434,2025-11-08,Auto,41,4265,0
L004167,2026-04-20,Property,42,6342,0
L001117,2025-10-13,Auto,34,8148,0
L005704,2026-07-20,Liability,49,20813,0
L003997,2026-04-27,Auto,31,5437,0
L005396,2026-07-31,Auto,10,3501,1
L003221,2026-02-09,Property,31,13405,0
L003897,2026-04-14,Auto,20,1810,0
L005252,2026-06-01,Liability,69,19598,1
L003430,2026-03-27,Auto,27,2679,0
L004381,2026-05-03,Auto,18,7237,0
L004372,2026-05-11,Auto,28,6833,0
L005727,2026-07-07,Liability,58,11781,0
L005548,2026-07-29,Property,39,7187,1
L003090,2026-02-26,Property,65,15691,0
L002734,2026-01-14,Property,85,19807,0
L003746,2026-03-16,Liability,52,16821,0
L005483,2026-07-04,Auto,15,300,0
L001580,2025-11-17,Auto,45,6265,0
L005482,2026-07-09,Auto,23,4060,0
L000442,2025-08-18,Liability,106,16606,0
L001305,2025-10-03,Liability,63,17395,0
L004015,2026-04-25,Auto,34,5258,0
L003234,2026-02-22,Property,56,7256,0
L002509,2026-01-24,Auto,34,2604,0
L002393,2026-01-25,Auto,26,753,0
L000902,2025-09-01,Liability,80,1370,0
L003071,2026-02-07,Auto,40,5486,0
L005579,2026-07-07,Property,24,15757,0
L003564,2026-03-29,Auto,45,4282,0
L001935,2025-12-05,Auto,31,835,0
L005298,2026-07-09,Auto,19,5182,0
L001141,2025-10-24,Property,22,5289,0
L001753,2025-11-04,Property,59,300,0
L004346,2026-05-28,Auto,18,5540,0
L002916,2026-02-02,Auto,29,3987,0
L000138,2025-08-07,Auto,27,8516,0
L000035,2025-08-05,Auto,48,1274,0
L003832,2026-04-21,Auto,32,3716,0
L000759,2025-09-24,Property,54,16485,1
L000816,2025-09-20,Liability,64,17506,1
L004519,2026-05-20,Auto,23,3223,0
L002433,2026-01-03,Auto,52,6561,0
L005565,2026-07-29,Property,5,9260,0
L004133,2026-04-19,Property,44,16126,0
L000145,2025-08-26,Auto,56,914,1
L004324,2026-05-25,Auto,19,300,1
L004892,2026-06-30,Auto,16,3147,0
L005027,2026-06-07,Auto,16,1626,0
L002429,2026-01-24,Auto,18,2662,0
L005501,2026-07-21,Auto,24,1428,0
L001725,2025-11-25,Property,81,5241,0
L001443,2025-11-01,Auto,22,300,0
L003940,2026-04-08,Auto,27,300,0
L005444,2026-07-18,Auto,14,4133,0
L004101,2026-04-12,Property,25,14522,0
L005240,2026-06-19,Liability,54,7699,0
L003838,2026-04-04,Auto,21,9413,0
L000986,2025-10-23,Auto,57,3917,0
L000831,2025-09-11,Liability,71,300,0
L001441,2025-11-30,Auto,35,6637,1
L003081,2026-02-28,Auto,29,6495,0
L001308,2025-10-18,Liability,32,16195,0
L004989,2026-06-08,Auto,20,6617,0
L004712,2026-05-22,Liability,83,6032,0
L000040,2025-08-21,Auto,58,8757,0
L004344,2026-05-08,Auto,21,4818,1
L002540,2026-01-27,Auto,31,8743,0
L002037,2025-12-25,Auto,38,10606,0
L004475,2026-05-24,Auto,27,1581,0
L001735,2025-11-11,Property,107,8087,0
L003863,2026-04-12,Auto,17,2655,0
L004152,2026-04-17,Property,19,11180,0
L001362,2025-10-04,Liability,95,11030,0
L002948,2026-02-02,Auto,49,9369,1
L002006,2025-12-09,Auto,40,2920,0
L000462,2025-09-25,Auto,36,9712,0
L004065,2026-04-26,Property,44,8182,0
L001768,2025-11-20,Liability,115,21538,0
L000012,2025-08-12,Auto,46,4445,0
L004199,2026-04-07,Property,66,15231,0
L004622,2026-05-10,Property,50,10678,0
L001910,2025-12-03,Auto,48,4913,0
L005139,2026-06-26,Property,31,8062,0
L004971,2026-06-10,Auto,18,2594,1
L002699,2026-01-27,Property,69,5689,1
L001922,2025-12-13,Auto,19,5020,0
L001641,2025-11-13,Property,38,11997,0
L005571,2026-07-26,Property,25,18566,0
L001861,2025-12-15,Auto,30,3039,0
L001966,2025-12-18,Auto,27,300,0
L001582,2025-11-20,Auto,35,4346,0
L000017,2025-08-05,Auto,46,2293,0
L005234,2026-06-23,Liability,61,16631,0
L002380,2026-01-18,Auto,52,1938,0
L000764,2025-09-08,Property,42,10985,0
L003387,2026-03-17,Auto,39,6267,0
L002470,2026-01-08,Auto,32,7430,0
L005308,2026-07-04,Auto,24,5307,0
L000175,2025-08-22,Auto,22,300,0
L002027,2025-12-15,Auto,32,4836,0
L002032,2025-12-28,Auto,51,6963,1
L004294,2026-04-20,Liability,36,15360,0
L000168,2025-08-18,Auto,36,4412,0
L001422,2025-11-16,Auto,39,3770,0
L002789,2026-01-07,Liability,42,3291,0
L005685,2026-07-28,Liability,38,25543,0
L004477,2026-05-28,Auto,19,6215,1
L003552,2026-03-10,Auto,39,7171,1
L003716,2026-03-29,Property,30,16498,0
L001506,2025-11-08,Auto,27,5715,0
L000923,2025-10-31,Auto,33,300,0
L005542,2026-07-22,Property,46,2892,0
L004088,2026-04-09,Property,25,19205,0
L001079,2025-10-20,Auto,39,5499,0
L005096,2026-06-17,Property,36,13865,0
L002198,2025-12-12,Property,88,9395,0
L002516,2026-01-14,Auto,50,3952,0
L001873,2025-12-23,Auto,29,5129,0
L000211,2025-08-11,Property,45,16693,0
L001399,2025-11-11,Auto,50,791,0
L002695,2026-01-20,Property,57,4949,0
L001415,2025-11-07,Auto,46,6386,1
L005555,2026-07-31,Property,34,9228,0
L004168,2026-04-21,Property,51,9884,0
L004333,2026-05-11,Auto,29,5502,0
L003635,2026-03-08,Property,81,14380,0
L005552,2026-07-20,Property,30,300,0
L000064,2025-08-12,Auto,21,6377,1
L001330,2025-10-10,Liability,85,18490,1
L000955,2025-10-01,Auto,41,9176,0
L005513,2026-07-25,Auto,15,1937,0
L005056,2026-06-04,Property,55,11180,1
L005349,2026-07-26,Auto,29,300,0
L001183,2025-10-18,Property,33,19248,0
L005183,2026-06-21,Property,29,3487,0
L005628,2026-07-16,Property,49,3919,0
L002461,2026-01-01,Auto,38,6527,0
L004886,2026-06-27,Auto,19,300,0
L002513,2026-01-28,Auto,35,5247,0
L005653,2026-07-12,Property,28,7231,0
L003648,2026-03-08,Property,66,13701,0
L003981,2026-04-18,Auto,45,4874,0
L001751,2025-11-30,Property,51,12272,0
L005356,2026-07-08,Auto,23,6727,1
L003539,2026-03-31,Auto,12,9424,0
L003493,2026-03-06,Auto,39,7092,0
L002609,2026-01-15,Property,58,10572,0
L001774,2025-11-06,Liability,48,29701,0
L003346,2026-02-08,Liability,91,27248,0
L002147,2025-12-14,Property,38,16560,0
L002797,2026-01-27,Liability,87,8579,0
L002803,2026-01-09,Liability,97,14394,0
L004102,2026-04-02,Property,43,14516,0
L005500,2026-07-17,Auto,21,1798,0
L004844,2026-06-24,Auto,21,4335,1
L005136,2026-06-22,Property,23,6478,0
L004972,2026-06-23,Auto,25,4862,0
L005422,2026-07-21,Auto,27,5374,1
L004809,2026-06-08,Auto,27,3859,0
L003133,2026-02-05,Property,37,3625,0
L004707,2026-05-06,Property,36,300,0
L005729,2026-07-12,Liability,30,16200,1
L002535,2026-01-19,Auto,19,6078,0
L005208,2026-06-15,Liability,75,5852,0
L002109,2025-12-30,Property,72,15211,0
L004731,2026-05-31,Liability,46,37323,1
L004842,2026-06-03,Auto,25,7409,1
L002444,2026-01-23,Auto,52,7964,0
L004393,2026-05-24,Auto,24,8450,0
L002348,2025-12-27,Liability,67,29729,0
L002136,2025-12-22,Property,59,10291,0
L000167,2025-08-25,Auto,45,5082,0
L005338,2026-07-17,Auto,17,6023,1
L000605,2025-09-21,Auto,36,2288,0
L005032,2026-06-08,Property,33,300,0
L004538,2026-05-26,Auto,27,5998,0
L000356,2025-08-04,Property,71,8784,0
L001908,2025-12-14,Auto,28,739,0
L003333,2026-02-20,Liability,60,13923,0
L003611,2026-03-10,Property,51,300,0
L001015,2025-10-19,Auto,36,4583,0
L002569,2026-01-13,Auto,11,783,0
L005654,2026-07-04,Property,34,19751,0
L002407,2026-01-25,Auto,52,8158,0
L004690,2026-05-13,Property,57,22205,0
L000313,2025-08-28,Property,78,11247,0
L001064,2025-10-27,Auto,35,5687,0
L005191,2026-06-26,Liability,25,15414,0
L005543,2026-07-04,Property,42,5845,0
L002495,2026-01-03,Auto,28,7108,0
L002395,2026-01-05,Auto,20,300,0
L001394,2025-11-13,Auto,9,3002,0
L000202,2025-08-15,Auto,34,5151,0
L004094,2026-04-12,Property,40,4138,0
L002896,2026-02-22,Auto,57,1563,0
L003819,2026-03-06,Liability,90,14595,0
L005352,2026-07-05,Auto,21,2645,0
L002988,2026-02-17,Auto,17,6056,0
L005065,2026-06-18,Property,21,20784,0
L002103,2025-12-27,Property,57,12817,0
L002686,2026-01-02,Property,57,10823,0
L001917,2025-12-11,Auto,24,300,0
L000592,2025-09-22,Auto,32,6282,0
L003554,2026-03-19,Auto,42,5561,0
L004680,2026-05-11,Property,38,11759,0
L005200,2026-06-22,Liability,58,300,0
L004914,2026-06-11,Auto,14,4304,0
L001389,2025-11-20,Auto,25,7889,0
L005322,2026-07-15,Auto,22,6256,0
L003914,2026-04-28,Auto,27,6866,0
L001957,2025-12-22,Auto,41,7500,0
L004253,2026-04-21,Liability,70,28524,0
L000562,2025-09-15,Auto,8,5638,0
L000331,2025-08-01,Property,29,15418,0
L000407,2025-08-01,Liability,97,24775,0
L002817,2026-01-30,Liability,49,23570,0
L004902,2026-06-23,Auto,27,4517,0
L001750,2025-11-09,Property,59,14562,0
L003046,2026-02-06,Auto,31,1389,0
L003230,2026-02-13,Property,77,2441,0
L003275,2026-02-13,Liability,84,3186,0
L000187,2025-08-04,Auto,64,7241,0
L001746,2025-11-14,Property,53,11306,0
L005284,2026-07-26,Auto,11,3948,0
L001622,2025-11-01,Property,48,20327,1
L005289,2026-07-14,Auto,38,2617,1
L002863,2026-02-03,Auto,50,4256,0
L002717,2026-01-08,Property,48,15154,0
L000198,2025-08-30,Auto,33,6195,0
L000523,2025-09-14,Auto,42,7311,0
L002522,2026-01-13,Auto,34,3172,0
L004759,2026-05-30,Liability,18,10431,0
L004020,2026-04-15,Auto,45,1242,0
L004112,2026-04-27,Property,43,2508,0
L004739,2026-05-04,Liability,53,7223,0
L002389,2026-01-16,Auto,43,1642,0
L000240,2025-08-06,Property,42,27385,0
L000865,2025-09-07,Liability,48,22016,0
L005086,2026-06-17,Property,31,8572,0
L000220,2025-08-01,Property,51,5823,0
L003160,2026-02-18,Property,27,8071,0
L001635,2025-11-02,Property,59,2306,0
L001787,2025-11-30,Liability,74,13644,0
L003301,2026-02-06,Liability,82,26862,0
L000438,2025-08-31,Liability,73,27599,0
L003557,2026-03-17,Auto,28,4180,1
L003860,2026-04-14,Auto,44,4409,0
L003992,2026-04-14,Auto,27,5619,0
L001590,2025-11-11,Property,51,5393,0
L002481,2026-01-03,Auto,52,7084,0
L003577,2026-03-17,Property,51,7057,0
L000445,2025-08-17,Liability,72,16030,0
L001857,2025-12-14,Auto,24,6982,0
L004905,2026-06-10,Auto,14,300,0
L001341,2025-10-12,Liability,68,300,1
L003636,2026-03-27,Property,67,7089,0
L003150,2026-02-05,Property,43,15090,0
L001312,2025-10-23,Liability,32,6504,0
L005399,2026-07-10,Auto,21,5361,0
L004734,2026-05-31,Liability,64,10772,0
L004361,2026-05-16,Auto,35,4542,0
L000723,2025-09-07,Property,51,7847,0
L003129,2026-02-16,Property,59,8131,0
L005196,2026-06-05,Liability,34,25381,0
L000086,2025-08-13,Auto,28,2548,0
L004933,2026-06-14,Auto,8,2683,0
L000921,2025-10-14,Auto,29,5542,0
L005598,2026-07-15,Property,31,1077,0
L003261,2026-02-11,Liability,37,19223,0
L005554,2026-07-19,Property,46,7293,0
L003800,2026-03-02,Liability,27,29412,0
L001135,2025-10-14,Property,65,14315,0
L000053,2025-08-04,Auto,34,4590,1
L001421,2025-11-28,Auto,40,4577,0
L005448,2026-07-13,Auto,22,7097,0
L005428,2026-07-02,Auto,16,5410,0
L001001,2025-10-05,Auto,46,300,0
L001329,2025-10-03,Liability,77,18119,0
L005368,2026-07-12,Auto,5,5051,0
L002160,2025-12-19,Property,76,341,0
L001892,2025-12-15,Auto,41,970,0
L003324,2026-02-02,Liability,78,12746,0
L002502,2026-01-31,Auto,13,5284,0
L005026,2026-06-18,Auto,18,9261,0
L000469,2025-09-05,Auto,35,300,0
L000089,2025-08-19,Auto,46,7362,0
L004417,2026-05-10,Auto,26,3976,0
L002280,2025-12-13,Liability,29,25954,0
L004843,2026-06-14,Auto,14,5674,0
L001747,2025-11-16,Property,45,16044,0
L002659,2026-01-07,Property,39,11406,0
L003417,2026-03-17,Auto,43,1278,0
L000414,2025-08-12,Liability,75,9145,0
L002137,2025-12-04,Property,55,439,0
L004995,2026-06-03,Auto,33,303,0
L001424,2025-11-10,Auto,58,2137,0
L005667,2026-07-07,Property,22,19666,0
L003485,2026-03-24,Auto,44,5533,0
L001661,2025-11-11,Property,65,9753,0
L001754,2025-11-13,Property,54,7435,0
L001611,2025-11-20,Property,58,22837,0
L003036,2026-02-22,Auto,23,7897,0
L002849,2026-01-08,Liability,52,26532,0
L000673,2025-09-22,Property,67,14352,0
L004385,2026-05-12,Auto,25,4610,0
L003445,2026-03-19,Auto,48,6185,0
L003522,2026-03-18,Auto,24,300,0
L000493,2025-09-10,Auto,5,3857,0
L004196,2026-04-15,Property,44,15023,0
L002543,2026-01-04,Auto,21,1495,0
L000879,2025-09-20,Liability,61,29272,0
L004967,2026-06-15,Auto,24,3278,0
L000644,2025-09-03,Auto,47,8947,0
L000599,2025-09-20,Auto,42,3531,1
L005389,2026-07-05,Auto,26,6908,0
L000958,2025-10-12,Auto,29,5811,0
L001170,2025-10-21,Property,55,7834,0
L003365,2026-03-29,Auto,24,737,0
L004278,2026-04-26,Liability,62,14190,0
L005198,2026-06-22,Liability,80,20051,0
L003187,2026-02-09,Property,101,7200,0
L000643,2025-09-19,Auto,32,2588,0
L004225,2026-04-30,Liability,76,21029,0
L004590,2026-05-27,Property,23,9654,0
L001603,2025-11-13,Property,28,15732,0
L004489,2026-05-12,Auto,30,3912,0
L002068,2025-12-10,Auto,35,3444,0
L003235,2026-02-15,Property,69,4911,0
L004000,2026-04-27,Auto,22,536,0
L001702,2025-11-28,Property,42,13136,0
L004826,2026-06-21,Auto,24,3626,0
L004565,2026-05-28,Property,50,8498,0
L003629,2026-03-24,Property,23,15649,0
L005057,2026-06-04,Property,47,10061,0
L000484,2025-09-09,Auto,22,1890,1
L003975,2026-04-27,Auto,15,5882,0
L001697,2025-11-04,Property,52,9931,0
L003620,2026-03-07,Property,23,4727,0
L002106,2025-12-10,Property,50,3105,0
L000456,2025-09-19,Auto,37,7325,0
L004684,2026-05-29,Property,45,14111,0
L002114,2025-12-07,Property,43,9317,0
L002606,2026-01-05,Property,44,14572,0
L004818,2026-06-26,Auto,19,6654,0
L000155,2025-08-28,Auto,40,2919,0
L003677,2026-03-06,Property,56,12472,0
L005069,2026-06-02,Property,39,14955,0
L001368,2025-11-01,Auto,41,6123,0
L003784,2026-03-02,Liability,109,28323,1
L001192,2025-10-08,Property,46,2035,0
L001301,2025-10-26,Liability,64,16476,0
L003399,2026-03-21,Auto,33,3069,0
L001209,2025-10-22,Property,26,4799,1
L000632,2025-09-11,Auto,40,8325,0
L005146,2026-06-17,Property,30,1844,1
L000131,2025-08-25,Auto,25,6287,0
L000412,2025-08-09,Liability,58,20972,0
L000850,2025-09-05,Liability,65,19831,0
L000212,2025-08-06,Property,50,10191,0
L000819,2025-09-18,Liability,47,11813,0
L000947,2025-10-24,Auto,28,6623,0
L003538,2026-03-12,Auto,25,2587,0
L004071,2026-04-13,Property,54,13123,0
L005440,2026-07-07,Auto,17,1977,0
L001913,2025-12-22,Auto,29,2013,0
L000348,2025-08-23,Property,53,13493,0
L000244,2025-08-28,Property,44,7894,0
L003927,2026-04-24,Auto,24,3036,0
L000068,2025-08-02,Auto,32,4016,0
L004190,2026-04-05,Property,40,12768,0
L000629,2025-09-19,Auto,29,6446,0
L002156,2025-12-12,Property,27,6363,0
L002431,2026-01-14,Auto,50,2905,0
L004866,2026-06-30,Auto,27,2891,0
L004407,2026-05-22,Auto,27,5541,0
L003115,2026-02-18,Property,67,7773,0
L001529,2025-11-23,Auto,30,5566,0
L000352,2025-08-28,Property,45,9330,0
L004939,2026-06-07,Auto,11,3042,0
L004134,2026-04-21,Property,56,15193,0
L001684,2025-11-26,Property,60,14435,0
L002094,2025-12-16,Property,76,3105,1
L002158,2025-12-01,Property,14,10571,0
L005467,2026-07-22,Auto,21,4969,0
L001356,2025-10-16,Liability,71,8232,0
L003641,2026-03-02,Property,40,300,0
L000360,2025-08-27,Property,57,21258,1
L001306,2025-10-14,Liability,71,17719,0
L001680,2025-11-17,Property,35,4189,0
L004675,2026-05-02,Property,47,18906,0
L001796,2025-11-26,Liability,122,11101,0
L001126,2025-10-24,Property,34,16298,0
L005638,2026-07-04,Property,37,300,0
L005100,2026-06-19,Property,39,8478,0
L001686,2025-11-05,Property,27,5754,0
L001570,2025-11-23,Auto,32,6702,0
L000813,2025-09-26,Property,29,11369,0
L004506,2026-05-31,Auto,37,1217,0
L000475,2025-09-13,Auto,63,8269,0
L001997,2025-12-30,Auto,23,6536,1
L005623,2026-07-01,Property,50,16518,0
L001454,2025-11-09,Auto,5,4317,0
L000354,2025-08-24,Property,50,15704,0
L004341,2026-05-13,Auto,29,1471,0
L005011,2026-06-09,Auto,10,2175,0
L003155,2026-02-10,Property,53,8107,0
L005443,2026-07-08,Auto,29,5856,0
L002434,2026-01-01,Auto,30,821,0
L000561,2025-09-24,Auto,32,2292,0
L000409,2025-08-11,Liability,82,11322,0
L000134,2025-08-27,Auto,50,929,0
L005524,2026-07-15,Property,30,14641,0
L004940,2026-06-03,Auto,21,3129,1
L005098,2026-06-03,Property,29,5256,1
L001845,2025-11-03,Liability,75,12472,0
L005739,2026-07-19,Liability,25,14788,0
L002226,2025-12-01,Property,67,14377,0
L005414,2026-07-21,Auto,14,5277,0
L003220,2026-02-17,Property,65,11527,0
L002439,2026-01-15,Auto,36,7514,0
L002731,2026-01-27,Property,41,6273,0
L004106,2026-04-18,Property,52,19952,0
L005594,2026-07-01,Property,46,6827,0
L002865,2026-02-20,Auto,31,9511,0
L001654,2025-11-27,Property,5,2244,0
L000158,2025-08-26,Auto,51,4490,1
L000514,2025-09-25,Auto,35,2974,0
L003985,2026-04-29,Auto,38,4221,0
L001502,2025-11-20,Auto,45,387,0
L002388,2026-01-29,Auto,54,5633,0
L001060,2025-10-16,Auto,37,7053,0
L002637,2026-01-08,Property,109,1455,0
L005013,2026-06-18,Auto,26,4357,1
L002222,2025-12-03,Property,31,11444,0
L000073,2025-08-28,Auto,25,3154,1
L003503,2026-03-22,Auto,56,1736,0
L000830,2025-09-05,Liability,59,29051,0
L002384,2026-01-03,Auto,26,5435,0
L002255,2025-12-29,Property,81,1725,0
L005503,2026-07-11,Auto,11,300,0
L000195,2025-08-21,Auto,39,3589,0
L003313,2026-02-18,Liability,35,11597,0
L004200,2026-04-29,Property,48,11752,0
L000246,2025-08-19,Property,46,7141,0
L000491,2025-09-16,Auto,32,4677,0
L001765,2025-11-03,Liability,37,15239,0
L003323,2026-02-21,Liability,35,1596,0
L004210,2026-04-10,Property,65,12759,0
L000558,2025-09-15,Auto,36,5822,0
L001062,2025-10-16,Auto,27,4876,0
L002200,2025-12-02,Property,43,19736,0
L001095,2025-10-31,Auto,42,3533,0
L002129,2025-12-18,Property,31,4764,0
L000451,2025-09-01,Auto,29,4836,0
L001930,2025-12-14,Auto,12,6811,0
L004028,2026-04-02,Auto,25,6860,1
L000545,2025-09-06,Auto,25,5423,0
L002920,2026-02-08,Auto,31,7776,0
L003803,2026-03-03,Liability,27,21882,0
L000899,2025-09-08,Liability,83,11232,0
L004573,2026-05-15,Property,23,14243,0
L004636,2026-05-14,Property,39,5157,0
L000238,2025-08-29,Property,44,9365,0
L000891,2025-09-16,Liability,68,28747,0
L005662,2026-07-17,Property,16,2180,0
L002487,2026-01-12,Auto,29,1517,0
L000515,2025-09-04,Auto,62,8266,0
L002507,2026-01-29,Auto,59,1170,1
L005605,2026-07-20,Property,22,10229,0
L000025,2025-08-03,Auto,22,1893,0
L002446,2026-01-06,Auto,34,5364,0
L003823,2026-03-15,Liability,62,17665,0
L005186,2026-06-25,Property,38,15710,0
L004340,2026-05-21,Auto,21,5987,0
L004785,2026-05-20,Liability,46,18836,0
L004891,2026-06-21,Auto,6,2759,0
L005700,2026-07-01,Liability,77,7220,0
L003413,2026-03-20,Auto,49,2536,1
L003909,2026-04-28,Auto,6,520,1
L002193,2025-12-09,Property,74,4512,0
L003916,2026-04-24,Auto,24,2188,1
L003436,2026-03-02,Auto,32,3006,0
L003893,2026-04-11,Auto,33,4730,0
L004067,2026-04-23,Property,39,14523,0
L005508,2026-07-04,Auto,22,1152,1
L003199,2026-02-09,Property,61,7911,0
L005481,2026-07-17,Auto,6,4812,0
L001562,2025-11-21,Auto,28,3671,0
L004807,2026-06-19,Auto,30,1505,0
L005224,2026-06-14,Liability,37,20619,0
L000917,2025-10-15,Auto,34,677,0
L005005,2026-06-24,Auto,16,5715,0
L001833,2025-11-29,Liability,45,15055,0
L004532,2026-05-04,Auto,16,9683,0
L002774,2026-01-23,Liability,131,19985,0
L005053,2026-06-26,Property,37,17813,0
L002858,2026-01-31,Liability,65,13872,0
L004612,2026-05-14,Property,14,8942,0
L002254,2025-12-26,Property,38,5413,0
L001121,2025-10-14,Property,5,10288,0
L004670,2026-05-11,Property,56,14974,0
L005616,2026-07-13,Property,5,2973,0
L002700,2026-01-26,Property,59,6682,0
L003242,2026-02-02,Property,45,7875,0
L001710,2025-11-12,Property,28,10022,0
L004545,2026-05-29,Auto,24,10396,0
L002131,2025-12-15,Property,55,16658,0
L005530,2026-07-17,Property,48,7888,0
L001482,2025-11-20,Auto,69,1937,0
L003282,2026-02-20,Liability,98,300,0
L001974,2025-12-31,Auto,27,1682,0
L003805,2026-03-07,Liability,64,33446,0
L004299,2026-04-06,Liability,55,16703,0
L004969,2026-06-05,Auto,26,2411,0
L000105,2025-08-05,Auto,22,5310,0
L001965,2025-12-05,Auto,40,6280,0
L003556,2026-03-10,Auto,50,3585,0
L002795,2026-01-07,Liability,98,21864,0
L002727,2026-01-07,Property,63,11058,0
L004928,2026-06-06,Auto,8,6108,0
