account_id,month,segment,utilization_pct,monthly_spend_usd,delinquent_30d
C000117,2025-08,Prime,52,0,0
C000118,2025-08,Prime,29,800,0
C000119,2025-08,Prime,5,466,0
C000120,2025-08,Prime,43,1686,0
C000121,2025-08,Prime,20,611,0
C000122,2025-08,Prime,59,1824,0
C000123,2025-08,Prime,28,1350,0
C000124,2025-08,Prime,20,1426,0
C000125,2025-08,Prime,23,1477,0
C000126,2025-08,Prime,42,508,0
C000127,2025-08,Prime,41,2136,0
C000128,2025-08,Prime,19,1780,0
C000129,2025-08,Prime,14,2172,0
C000130,2025-08,Prime,39,871,0
C000131,2025-08,Prime,38,878,0
C000132,2025-08,Prime,54,1728,1
C000133,2025-08,Prime,10,1490,0
C000134,2025-08,Prime,23,1616,0
C000135,2025-08,Prime,17,417,0
C000136,2025-08,Prime,49,267,0
C000137,2025-08,Prime,17,1242,0
C000138,2025-08,Prime,1,1514,0
C000139,2025-08,Prime,19,1429,0
C000140,2025-08,Prime,23,2570,0
C000141,2025-08,Prime,25,264,0
C000142,2025-08,Prime,39,1108,0
C000143,2025-08,Prime,36,1834,0
C000144,2025-08,Prime,47,1596,0
C000145,2025-08,Prime,40,1386,0
C000146,2025-08,Prime,32,1110,0
C000147,2025-08,Prime,1,2069,0
C000148,2025-08,Prime,6,1071,0
C000149,2025-08,Prime,17,1403,1
C000150,2025-08,Prime,30,2148,0
C000151,2025-08,Prime,3,1486,0
C000152,2025-08,Prime,34,2767,0
C000153,2025-08,Prime,35,1402,0
C000154,2025-08,Prime,1,0,0
C000155,2025-08,Prime,35,1147,0
C000156,2025-08,Prime,1,570,0
C000157,2025-08,Prime,11,630,0
C000158,2025-08,Prime,25,727,0
C000159,2025-08,Prime,43,2170,0
C000160,2025-08,Prime,22,989,0
C000161,2025-08,Prime,46,203,0
C000162,2025-08,Prime,18,2825,0
C000163,2025-08,Prime,11,1515,0
C000164,2025-08,Prime,30,1155,0
C000165,2025-08,Prime,61,957,0
C000166,2025-08,Prime,48,1928,0
C000167,2025-08,Prime,32,1693,1
C000168,2025-08,Prime,30,865,0
C000169,2025-08,Prime,1,971,0
C000170,2025-08,Prime,32,2502,0
C000171,2025-08,Prime,17,672,0
C000172,2025-08,Prime,24,2008,0
C000173,2025-08,Prime,20,780,0
C000174,2025-08,Prime,37,1566,0
C000175,2025-08,Prime,48,408,0
C000176,2025-08,Prime,17,2047,0
C000177,2025-08,Prime,47,2128,0
C000178,2025-08,Prime,8,21,0
C000179,2025-08,Prime,5,372,0
C000180,2025-08,Prime,31,2091,0
C000181,2025-08,Prime,21,1881,0
C000182,2025-08,Prime,24,1257,0
C000183,2025-08,Prime,29,875,0
C000184,2025-08,Prime,18,1031,0
C000185,2025-08,Prime,43,542,0
C000186,2025-08,Prime,45,2074,0
C000187,2025-08,Prime,55,1179,0
C000188,2025-08,Prime,25,920,0
C000189,2025-08,Prime,22,731,0
C000190,2025-08,Prime,49,1428,0
C000191,2025-08,Prime,39,477,0
C000192,2025-08,Prime,57,1073,0
C000193,2025-08,Prime,22,2331,0
C000194,2025-08,Prime,6,1436,0
C000195,2025-08,Prime,52,1389,0
C000196,2025-08,Prime,20,1286,0
C000197,2025-08,Prime,43,249,0
C000198,2025-08,Prime,1,892,0
C000199,2025-08,Prime,58,2291,0
C000200,2025-08,Prime,65,1802,0
C000201,2025-08,Prime,9,2341,0
C000202,2025-08,Prime,27,2267,0
C000203,2025-08,Prime,1,2368,0
C000204,2025-08,Prime,1,710,0
C000205,2025-08,Prime,37,1850,0
C000206,2025-08,Prime,19,1148,0
C000207,2025-08,Prime,41,2183,0
C000208,2025-08,Prime,23,703,0
C000209,2025-08,Prime,24,1816,0
C000210,2025-08,Prime,22,3042,0
C000211,2025-08,Prime,19,1142,0
C000212,2025-08,Prime,13,1826,0
C000213,2025-08,Prime,41,1169,0
C000214,2025-08,Prime,39,1635,0
C000215,2025-08,Prime,26,1957,0
C000216,2025-08,Prime,40,942,0
C000217,2025-08,Prime,4,419,0
C000218,2025-08,Prime,7,1265,0
C000219,2025-08,Prime,17,1343,0
C000220,2025-08,Prime,57,1785,0
C000221,2025-08,Prime,23,0,0
C000222,2025-08,Prime,1,1285,0
C000223,2025-08,Prime,27,2679,0
C000224,2025-08,Prime,1,878,0
C000225,2025-08,Prime,41,2347,0
C000226,2025-08,Prime,14,1664,0
C000227,2025-08,Prime,1,2043,0
C000228,2025-08,Prime,51,2425,0
C000229,2025-08,Prime,53,1626,0
C000230,2025-08,Prime,32,1292,0
C000231,2025-08,Prime,6,1382,0
C000232,2025-08,Prime,57,900,0
C000233,2025-08,Prime,37,1479,0
C000234,2025-08,Prime,1,1465,0
C000235,2025-08,Prime,4,1375,0
C000236,2025-08,Prime,36,2620,0
C000237,2025-08,Prime,1,2128,0
C000238,2025-08,Prime,58,1754,0
C000239,2025-08,Prime,45,651,0
C000240,2025-08,Prime,49,1124,0
C000241,2025-08,Prime,23,1769,0
C000242,2025-08,Prime,19,1494,0
C000243,2025-08,Prime,1,895,0
C000244,2025-08,Prime,42,510,0
C000245,2025-08,Prime,30,1450,0
C000246,2025-08,Prime,1,710,0
C000247,2025-08,Prime,43,2094,0
C000248,2025-08,Prime,30,1907,0
C000249,2025-08,Prime,40,1331,0
C000250,2025-08,Prime,39,2413,0
C000251,2025-08,Prime,14,2068,0
C000252,2025-08,Prime,42,1998,0
C000253,2025-08,Prime,24,2302,0
C000254,2025-08,Prime,36,2701,0
C000255,2025-08,Prime,43,1838,1
C000256,2025-08,Prime,15,1344,0
C000257,2025-08,Prime,14,901,0
C000258,2025-08,Prime,26,1413,0
C000259,2025-08,Prime,32,1570,0
C000260,2025-08,Prime,47,1709,0
C000261,2025-08,Prime,22,1974,0
C000262,2025-08,Prime,8,1012,0
C000263,2025-08,Prime,12,1026,0
C000264,2025-08,Prime,45,1557,0
C000265,2025-08,Prime,54,1166,0
C000266,2025-08,Prime,20,1941,0
C000267,2025-08,Prime,40,586,0
C000268,2025-08,Prime,29,1561,0
C000269,2025-08,Prime,42,1555,0
C000270,2025-08,Prime,14,2536,0
C000271,2025-08,Prime,9,1006,0
C000272,2025-08,Prime,46,1823,0
C000273,2025-08,Prime,36,292,0
C000274,2025-08,Prime,40,2771,1
C000275,2025-08,Prime,13,1133,0
C000276,2025-08,Prime,20,1049,1
C000277,2025-08,Prime,12,252,0
C000278,2025-08,Prime,21,1960,0
C000279,2025-08,Prime,1,1059,0
C000280,2025-08,Prime,10,2289,0
C000281,2025-08,Prime,52,2168,0
C000282,2025-08,Prime,39,2585,0
C000283,2025-08,Prime,31,821,0
C000284,2025-08,Prime,27,1531,0
C000285,2025-08,Prime,9,1516,0
C000286,2025-08,Prime,1,984,0
C000287,2025-08,Prime,44,1484,0
C000288,2025-08,Prime,41,2666,0
C000289,2025-08,Prime,47,1657,0
C000290,2025-08,Prime,16,312,0
C000291,2025-08,Prime,66,1338,0
C000292,2025-08,Prime,39,1761,0
C000293,2025-08,Prime,41,155,0
C000294,2025-08,Prime,65,2217,0
C000295,2025-08,Prime,7,2506,0
C000296,2025-08,Prime,39,0,0
C000297,2025-08,Prime,32,1582,0
C000298,2025-08,Prime,25,1813,0
C000299,2025-08,Prime,2,0,0
C000300,2025-08,Prime,29,1336,0
C000301,2025-08,Prime,74,1482,0
C000302,2025-08,Prime,57,481,0
C000303,2025-08,Prime,1,949,0
C000304,2025-08,Prime,1,2817,0
C000305,2025-08,Prime,39,0,0
C000306,2025-08,Prime,34,1532,0
C000307,2025-08,Prime,39,813,0
C000308,2025-08,Prime,21,1422,0
C000309,2025-08,Prime,24,961,0
C000310,2025-08,Prime,34,2172,0
C000311,2025-08,Prime,1,3040,0
C000312,2025-08,Prime,43,1139,0
C000313,2025-08,Prime,10,1935,0
C000314,2025-08,Prime,11,1707,0
C000315,2025-08,Prime,1,562,0
C000316,2025-08,Prime,6,1047,0
C000317,2025-08,Prime,40,370,0
C000318,2025-08,Prime,38,1648,0
C000319,2025-08,Prime,43,1220,0
C000320,2025-08,Prime,14,2144,0
C000321,2025-08,Prime,28,1546,0
C000322,2025-08,Prime,63,944,0
C000323,2025-08,Prime,9,1268,0
C000324,2025-08,Prime,34,902,0
C000325,2025-08,Prime,23,1846,0
C000326,2025-08,Prime,51,995,0
C000327,2025-08,Prime,31,2436,0
C000328,2025-08,Prime,45,2891,0
C000329,2025-08,Prime,13,2165,0
C000330,2025-08,Prime,39,544,0
C000331,2025-08,Prime,46,1924,0
C000332,2025-08,Prime,70,2331,0
C000333,2025-08,Prime,55,1076,0
C000334,2025-08,Prime,24,2742,0
C000335,2025-08,Prime,21,3104,0
C000336,2025-08,Prime,16,1419,0
C000337,2025-08,Prime,47,2805,0
C000338,2025-08,Prime,32,1033,0
C000339,2025-08,Prime,39,1717,0
C000340,2025-08,Prime,20,578,0
C000341,2025-08,Prime,1,884,0
C000342,2025-08,Prime,31,1051,0
C000343,2025-08,Prime,17,944,0
C000344,2025-08,Prime,27,2495,0
C000345,2025-08,Prime,1,421,0
C000346,2025-08,Prime,8,1324,0
C000347,2025-08,Prime,53,1887,1
C000348,2025-08,Prime,27,2278,0
C000349,2025-08,Prime,20,952,0
C000350,2025-08,Prime,43,1009,0
C000351,2025-08,Prime,29,2498,0
C000352,2025-08,Prime,40,0,0
C000353,2025-08,Prime,34,1969,0
C000354,2025-08,Prime,1,1629,0
C000355,2025-08,Prime,33,774,0
C000356,2025-08,Prime,26,2652,0
C000357,2025-08,Prime,42,1115,0
C000358,2025-08,Prime,53,2120,0
C000359,2025-08,Prime,1,2211,0
C000360,2025-08,Prime,13,2160,0
C000361,2025-08,Prime,21,1786,0
C000362,2025-08,Prime,63,373,0
C000363,2025-08,Prime,27,1065,0
C000364,2025-08,Prime,19,1656,0
C000365,2025-08,Prime,33,1453,0
C000366,2025-08,Prime,30,1879,0
C000367,2025-08,Prime,48,956,0
C000368,2025-08,Prime,43,1223,0
C000369,2025-08,Prime,1,1331,0
C000370,2025-08,Prime,25,1092,0
C000371,2025-08,Prime,43,117,0
C000372,2025-08,Prime,48,2444,0
C000373,2025-08,Prime,18,1173,0
C000374,2025-08,Prime,1,1178,0
C000375,2025-08,Prime,26,1968,0
C000376,2025-08,Prime,30,2601,0
C000377,2025-08,Prime,39,1341,0
C000378,2025-08,Prime,26,2033,0
C000379,2025-08,Prime,23,533,0
C000380,2025-08,Prime,17,586,0
C000381,2025-08,Prime,40,1169,0
C000382,2025-08,Prime,28,1619,0
C000383,2025-08,Prime,54,1725,0
C000384,2025-08,Prime,43,1655,0
C000385,2025-08,Prime,37,108,0
C000386,2025-08,Prime,24,1588,0
C000387,2025-08,Prime,43,901,0
C000388,2025-08,Prime,54,1989,0
C000389,2025-08,Prime,37,1083,0
C000390,2025-08,Prime,10,2036,0
C000391,2025-08,Prime,23,2426,0
C000392,2025-08,Prime,2,2375,0
C000393,2025-08,Prime,31,1530,0
C000394,2025-08,Prime,11,532,0
C000395,2025-08,Prime,43,1072,0
C000396,2025-08,Prime,68,653,0
C000397,2025-08,Prime,44,2765,0
C000398,2025-08,Prime,40,1605,0
C000399,2025-08,Prime,33,2508,0
C000400,2025-08,Prime,18,2007,0
C000401,2025-08,Prime,10,1425,0
C000402,2025-08,Prime,40,2414,0
C000403,2025-08,Prime,35,2016,0
C000404,2025-08,Prime,36,2531,0
C000405,2025-08,Prime,1,1606,0
C000406,2025-08,Prime,56,1632,0
C000407,2025-08,Prime,43,1588,0
C000408,2025-08,Prime,27,1173,0
C000409,2025-08,Prime,29,1058,0
C000410,2025-08,Prime,43,2074,0
C000411,2025-08,Prime,8,3022,0
C000412,2025-08,Prime,1,1910,0
C000413,2025-08,Prime,17,705,0
C000414,2025-08,Prime,11,1001,0
C000415,2025-08,Prime,14,780,0
C000416,2025-08,Prime,21,1347,0
C000417,2025-08,Prime,26,572,0
C000418,2025-08,Prime,20,1873,0
C000419,2025-08,Prime,37,263,0
C000420,2025-08,Prime,1,2784,0
C000421,2025-08,Prime,20,741,0
C000422,2025-08,Prime,33,2233,0
C000423,2025-08,Prime,51,1999,0
C000424,2025-08,Prime,1,1363,0
C000425,2025-08,Prime,1,1783,0
C000426,2025-08,Prime,9,1389,0
C000427,2025-08,Prime,62,1517,0
C000428,2025-08,Prime,26,2151,0
C000429,2025-08,Prime,16,1060,0
C000430,2025-08,Prime,59,2307,0
C000431,2025-08,Prime,12,601,0
C000432,2025-08,Prime,36,1232,0
C000433,2025-08,Prime,11,2086,0
C000434,2025-08,Prime,57,1340,0
C000435,2025-08,Prime,35,1427,0
C000436,2025-08,Prime,47,960,0
C000437,2025-08,Prime,28,1130,0
C000438,2025-08,Prime,68,466,0
C000439,2025-08,Prime,20,2458,0
C000440,2025-08,Prime,21,1356,0
C000441,2025-08,Prime,74,2348,0
C000442,2025-08,Prime,39,2197,0
C000443,2025-08,Prime,40,1047,0
C000444,2025-08,Prime,1,503,0
C000445,2025-08,Prime,27,434,0
C000446,2025-08,Prime,19,359,0
C000447,2025-08,Prime,10,3924,0
C000448,2025-08,Prime,13,1909,0
C000449,2025-08,Prime,28,2424,0
C000450,2025-08,Prime,24,988,0
C000451,2025-08,Prime,22,1715,0
C000452,2025-08,Prime,23,827,0
C000453,2025-08,Prime,39,2551,0
C000454,2025-08,Prime,34,804,0
C000455,2025-08,Prime,49,729,0
C000456,2025-08,Prime,20,723,0
C000457,2025-08,Prime,14,1163,0
C000458,2025-08,Prime,9,1788,0
C000459,2025-08,Prime,37,2395,0
C000460,2025-08,Prime,41,569,0
C000461,2025-08,Prime,48,2206,0
C000462,2025-08,Prime,1,295,0
C000463,2025-08,Prime,51,471,0
C000464,2025-08,Prime,15,974,0
C000465,2025-08,Prime,60,1446,0
C000466,2025-08,Prime,50,1058,0
C000467,2025-08,Prime,23,627,0
C000468,2025-08,Prime,53,2401,0
C000469,2025-08,Prime,24,2304,0
C000470,2025-08,Prime,23,1693,0
C000471,2025-08,Prime,14,970,0
C000472,2025-08,Prime,22,1732,0
C000473,2025-08,Prime,49,1836,0
C000474,2025-08,Prime,21,1098,0
C000475,2025-08,Prime,11,514,0
C000476,2025-08,Prime,1,1574,0
C000477,2025-08,Prime,6,1037,0
C000478,2025-08,Prime,40,1582,0
C000479,2025-08,Prime,1,1631,0
C000480,2025-08,Prime,4,0,0
C000481,2025-08,Near-prime,55,1863,0
C000482,2025-08,Near-prime,55,368,0
C000483,2025-08,Near-prime,44,1502,0
C000484,2025-08,Near-prime,44,831,0
C000485,2025-08,Near-prime,28,329,0
C000486,2025-08,Near-prime,77,1889,0
C000487,2025-08,Near-prime,44,1173,0
C000488,2025-08,Near-prime,38,1351,1
C000489,2025-08,Near-prime,41,951,0
C000490,2025-08,Near-prime,31,588,0
C000491,2025-08,Near-prime,66,1250,0
C000492,2025-08,Near-prime,71,1727,0
C000493,2025-08,Near-prime,52,914,0
C000494,2025-08,Near-prime,64,933,0
C000495,2025-08,Near-prime,54,1005,0
C000496,2025-08,Near-prime,66,740,0
C000497,2025-08,Near-prime,81,559,0
C000498,2025-08,Near-prime,53,664,0
C000499,2025-08,Near-prime,59,949,0
C000500,2025-08,Near-prime,84,731,0
C000501,2025-08,Near-prime,37,1491,0
C000502,2025-08,Near-prime,49,1293,0
C000503,2025-08,Near-prime,46,1625,0
C000504,2025-08,Near-prime,63,1703,0
C000505,2025-08,Near-prime,85,965,0
C000506,2025-08,Near-prime,43,0,0
C000507,2025-08,Near-prime,75,1557,0
C000508,2025-08,Near-prime,58,380,1
C000509,2025-08,Near-prime,74,1524,0
C000510,2025-08,Near-prime,48,1403,0
C000511,2025-08,Near-prime,36,623,0
C000512,2025-08,Near-prime,72,968,0
C000513,2025-08,Near-prime,58,1591,0
C000514,2025-08,Near-prime,55,893,0
C000515,2025-08,Near-prime,65,588,0
C000516,2025-08,Near-prime,49,374,0
C000517,2025-08,Near-prime,43,0,0
C000518,2025-08,Near-prime,74,608,0
C000519,2025-08,Near-prime,38,1309,0
C000520,2025-08,Near-prime,77,1572,0
C000521,2025-08,Near-prime,54,890,0
C000522,2025-08,Near-prime,73,616,0
C000523,2025-08,Near-prime,57,1161,0
C000524,2025-08,Near-prime,68,277,0
C000525,2025-08,Near-prime,52,722,0
C000526,2025-08,Near-prime,49,1256,0
C000527,2025-08,Near-prime,49,98,0
C000528,2025-08,Near-prime,56,1047,0
C000529,2025-08,Near-prime,69,1413,0
C000530,2025-08,Near-prime,68,833,0
C000531,2025-08,Near-prime,71,1058,0
C000532,2025-08,Near-prime,38,120,0
C000533,2025-08,Near-prime,63,1116,0
C000534,2025-08,Near-prime,38,726,0
C000535,2025-08,Near-prime,44,308,0
C000536,2025-08,Near-prime,71,1649,0
C000537,2025-08,Near-prime,50,1153,0
C000538,2025-08,Near-prime,35,737,0
C000539,2025-08,Near-prime,32,1836,0
C000540,2025-08,Near-prime,58,723,0
C000541,2025-08,Near-prime,54,1872,0
C000542,2025-08,Near-prime,55,885,0
C000543,2025-08,Near-prime,79,1091,0
C000544,2025-08,Near-prime,69,232,1
C000545,2025-08,Near-prime,26,990,0
C000546,2025-08,Near-prime,53,1539,0
C000547,2025-08,Near-prime,56,2061,0
C000548,2025-08,Near-prime,54,1517,0
C000549,2025-08,Near-prime,73,1178,0
C000550,2025-08,Near-prime,50,575,0
C000551,2025-08,Near-prime,39,1036,0
C000552,2025-08,Near-prime,65,1082,0
C000553,2025-08,Near-prime,62,2155,0
C000554,2025-08,Near-prime,38,1582,0
C000555,2025-08,Near-prime,34,909,0
C000556,2025-08,Near-prime,74,966,0
C000557,2025-08,Near-prime,68,1633,0
C000558,2025-08,Near-prime,59,442,0
C000559,2025-08,Near-prime,29,1747,0
C000560,2025-08,Near-prime,33,746,0
C000561,2025-08,Near-prime,38,549,0
C000562,2025-08,Near-prime,63,878,0
C000563,2025-08,Near-prime,57,53,0
C000564,2025-08,Near-prime,58,1164,0
C000565,2025-08,Near-prime,64,668,1
C000566,2025-08,Near-prime,35,1276,0
C000567,2025-08,Near-prime,50,478,0
C000568,2025-08,Near-prime,45,193,0
C000569,2025-08,Near-prime,35,1240,0
C000570,2025-08,Near-prime,39,717,0
C000571,2025-08,Near-prime,39,253,0
C000572,2025-08,Near-prime,62,738,0
C000573,2025-08,Near-prime,35,1164,0
C000574,2025-08,Near-prime,42,634,0
C000575,2025-08,Near-prime,43,480,0
C000576,2025-08,Near-prime,80,1400,0
C000577,2025-08,Near-prime,40,661,0
C000578,2025-08,Near-prime,44,687,0
C000579,2025-08,Near-prime,64,765,0
C000580,2025-08,Near-prime,38,307,0
C000581,2025-08,Near-prime,49,701,0
C000582,2025-08,Near-prime,59,830,0
C000583,2025-08,Near-prime,50,940,0
C000584,2025-08,Near-prime,39,588,0
C000585,2025-08,Near-prime,50,1535,0
C000586,2025-08,Near-prime,51,1824,0
C000587,2025-08,Near-prime,31,800,0
C000588,2025-08,Near-prime,58,2066,0
C000589,2025-08,Near-prime,55,677,0
C000590,2025-08,Near-prime,42,181,0
C000591,2025-08,Near-prime,53,385,0
C000592,2025-08,Near-prime,80,1149,0
C000593,2025-08,Near-prime,68,112,0
C000594,2025-08,Near-prime,10,512,0
C000595,2025-08,Near-prime,82,1061,1
C000596,2025-08,Near-prime,33,1498,0
C000597,2025-08,Near-prime,46,1318,0
C000598,2025-08,Near-prime,28,1989,0
C000599,2025-08,Near-prime,64,804,0
C000600,2025-08,Near-prime,51,668,0
C000601,2025-08,Near-prime,14,777,0
C000602,2025-08,Near-prime,41,1783,0
C000603,2025-08,Near-prime,32,796,0
C000604,2025-08,Near-prime,72,1383,0
C000605,2025-08,Near-prime,12,1375,0
C000606,2025-08,Near-prime,71,971,0
C000607,2025-08,Near-prime,33,1570,0
C000608,2025-08,Near-prime,64,2130,0
C000609,2025-08,Near-prime,49,1028,0
C000610,2025-08,Near-prime,83,1906,0
C000611,2025-08,Near-prime,55,1326,0
C000612,2025-08,Near-prime,70,1532,0
C000613,2025-08,Near-prime,55,1725,0
C000614,2025-08,Near-prime,100,945,0
C000615,2025-08,Near-prime,60,1079,0
C000616,2025-08,Near-prime,34,1510,0
C000617,2025-08,Near-prime,75,1253,0
C000618,2025-08,Near-prime,69,566,0
C000619,2025-08,Near-prime,79,1458,0
C000620,2025-08,Near-prime,45,731,0
C000621,2025-08,Near-prime,46,1764,0
C000622,2025-08,Near-prime,69,32,0
C000623,2025-08,Near-prime,77,572,0
C000624,2025-08,Near-prime,34,641,0
C000625,2025-08,Near-prime,51,1087,0
C000626,2025-08,Near-prime,85,1211,0
C000627,2025-08,Near-prime,61,1728,0
C000628,2025-08,Near-prime,50,881,0
C000629,2025-08,Near-prime,47,681,0
C000630,2025-08,Near-prime,59,1044,0
C000631,2025-08,Near-prime,56,466,0
C000632,2025-08,Near-prime,31,2065,0
C000633,2025-08,Near-prime,81,620,0
C000634,2025-08,Near-prime,29,802,0
C000635,2025-08,Near-prime,58,1114,0
C000636,2025-08,Near-prime,48,1027,0
C000637,2025-08,Near-prime,37,946,0
C000638,2025-08,Near-prime,78,1352,0
C000639,2025-08,Near-prime,83,0,0
C000640,2025-08,Near-prime,70,1068,0
C000641,2025-08,Near-prime,38,64,0
C000642,2025-08,Near-prime,37,1582,0
C000643,2025-08,Near-prime,35,814,0
C000644,2025-08,Near-prime,50,816,0
C000645,2025-08,Near-prime,40,0,0
C000646,2025-08,Near-prime,71,949,0
C000647,2025-08,Near-prime,43,700,0
C000648,2025-08,Near-prime,34,1110,0
C000649,2025-08,Near-prime,60,839,0
C000650,2025-08,Near-prime,54,872,0
C000651,2025-08,Near-prime,84,689,0
C000652,2025-08,Near-prime,57,838,0
C000653,2025-08,Near-prime,69,1573,0
C000654,2025-08,Near-prime,48,741,0
C000655,2025-08,Near-prime,65,1020,0
C000656,2025-08,Near-prime,59,1222,0
C000657,2025-08,Near-prime,44,740,0
C000658,2025-08,Near-prime,63,1218,0
C000659,2025-08,Near-prime,51,218,0
C000660,2025-08,Near-prime,25,1014,0
C000661,2025-08,Near-prime,29,1212,0
C000662,2025-08,Near-prime,20,959,0
C000663,2025-08,Near-prime,35,86,0
C000664,2025-08,Near-prime,70,1201,0
C000665,2025-08,Near-prime,88,0,0
C000666,2025-08,Near-prime,55,1118,0
C000667,2025-08,Near-prime,75,1744,0
C000668,2025-08,Near-prime,64,1032,0
C000669,2025-08,Near-prime,38,182,0
C000670,2025-08,Near-prime,1,581,0
C000671,2025-08,Near-prime,29,1542,0
C000672,2025-08,Near-prime,65,559,0
C000673,2025-08,Near-prime,40,1089,0
C000674,2025-08,Near-prime,28,1508,0
C000675,2025-08,Near-prime,58,820,0
C000676,2025-08,Near-prime,45,0,0
C000677,2025-08,Near-prime,58,1310,0
C000678,2025-08,Near-prime,59,466,0
C000679,2025-08,Near-prime,61,1078,0
C000680,2025-08,Near-prime,75,87,0
C000681,2025-08,Near-prime,62,633,0
C000682,2025-08,Near-prime,65,614,0
C000683,2025-08,Near-prime,57,1426,0
C000684,2025-08,Near-prime,33,1054,0
C000685,2025-08,Near-prime,24,449,0
C000686,2025-08,Near-prime,48,985,0
C000687,2025-08,Near-prime,28,371,0
C000688,2025-08,Near-prime,40,1222,0
